;;;;;;"Jahr -> ";2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
"Quelle";"Seite";"Datentyp";"Verkehrsmittel";;"Einheit";"Einheits-Vorsätze";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--"
"BMVI ViZ 2019";"152/153";"Kraftfahrzeugverkehr – Gesamtfahrleistung";"Mopeds";"≈ KRAFTRÄDER mit Vers.-Kennz.";"km";"Mrd.";4,00;3,80;3,90;4,20;4,30;4,60;4,60;4,70;4,80;4,70;4,80;4,80;4,70;4,70;4,60;4,60;4,00;3,90
"BMVI ViZ 2019";"152/153";"Kraftfahrzeugverkehr – Gesamtfahrleistung";"Krafträder";"≈ KRAFTRÄDER mit amtl. Kennz.";"km";"Mrd.";13,80;12,20;12,50;12,70;13,00;13,20;10,80;11,10;11,40;11,60;11,90;12,10;12,30;12,60;12,90;13,10;9,80;9,80
"BMVI ViZ 2019";"152/153";"Kraftfahrzeugverkehr – Gesamtfahrleistung";"Personen-Kraftwagen und Kombis ";"PKW";"km";"Mrd.";575,50;583,60;577,80;590,40;578,20;583,90;587,50;584,60;595,50;599,00;608,80;610,10;615,10;627,20;635,80;649,60;642,80;642,20
"berechnet";"--";"Kraftfahrzeugverkehr – Gesamtfahrleistung";"  Mopeds         + Krafträder     + Personenkraft-    wagen und         Kombis         = Motorisierter   Individualverkehr";"MIV";"km";"Mrd.";593,30;599,60;594,20;607,30;595,50;601,70;602,90;600,40;611,70;615,30;625,50;627,00;632,10;644,50;653,30;667,30;656,60;655,90
"BMVI ViZ 2019";"152/153";"Kraftfahrzeugverkehr – Gesamtfahrleistung";"Kraftomnibusse";"BUS";"km";"Mrd.";3,70;3,60;3,60;3,60;3,50;3,50;3,40;3,30;3,30;3,30;3,30;3,30;3,30;3,30;3,40;3,50;4,60;4,60
"BMVI ViZ 2019";"152/153";"Kraftfahrzeugverkehr – Gesamtfahrleistung";"Lastkraftwagen";"LKW";"km";"Mrd.";60,30;58,20;57,90;57,90;57,00;57,60;59,80;60,30;59,50;60,70;62,50;63,20;64,30;66,30;68,60;71,00;64,00;65,70
"BMVI ViZ 2019";"152/153";"Kraftfahrzeugverkehr – Gesamtfahrleistung";"Sattelzugmaschinen";"SATTELZUG-LKW";"km";"Mrd.";13,50;13,70;14,00;14,00;15,50;16,60;17,80;18,00;16,60;16,90;17,50;16,80;16,70;16,90;17,20;17,30;20,10;20,50
"BMVI ViZ 2019";"152/153";"Kraftfahrzeugverkehr – Gesamtfahrleistung";"Sonstige Kraftfahrzeuge";"übrige KFZ ";"km";"Mrd.";11,80;12,20;12,40;12,40;12,80;7,80;8,00;8,10;8,40;8,50;8,80;9,00;9,30;9,50;9,80;10,00;4,50;4,50
"BMVI ViZ 2019";"152/153";"Kraftfahrzeugverkehr – Gesamtfahrleistung";"Kraftfahrzeuge insgesamt";"--";"km";"Mrd.";682,60;687,20;682,20;696,40;684,30;687,30;692,00;690,10;699,10;704,80;717,60;719,30;725,70;740,50;752,30;769,10;749,60;751,10
"BMVI ViZ 2020";"224/225";"Personenverkehr – Verkehrsleistung";"Fußwege";"FUSSGAENGER";"Personen-km ≈ km";"Mrd.";"--";"--";38,80;"--";"--";38,40;"--";"--";"--";34,60;"--";"--";34,80;"--";"--";35,10;35,70;35,90
"BMVI ViZ 2020";"224/225";"Personenverkehr – Verkehrsleistung";"Fahrradverkehr";"FAHRRAD & PEDELEC";"Personen-km ≈ km";"Mrd.";"--";"--";30,40;"--";"--";30,30;"--";"--";"--";32,40;"--";"--";35,40;"--";"--";36,10;38,80;39,50
"BMVI ViZ 2020";"224/225";"Personenverkehr – Verkehrsleistung";"Öffentlicher Straßen-Personenverkehr";"ÖStraPV";"Personen-km";"Mrd.";"--";"--";82,20;"--";"--";81,80;"--";"--";"--";78,10;"--";"--";77,20;"--";"--";81,10;79,70;80,10
"BMVI ViZ 2020";"224/225";"Personenverkehr – Verkehrsleistung";"Öffentlicher Schienen-Personen-Verkehr = Eisenbahnverkehr, inkl. S-Bahn";"ÖSchiPV";"Personen-km";"Mrd.";"--";"--";71,30;"--";"--";79,00;"--";"--";"--";84,00;"--";"--";89,60;"--";"--";94,20;95,50;98,20
"berechnet";"224/225";"Personenverkehr – Verkehrsleistung";"Öffentlicher Personen-Verkehr ( auf Straße     + auf Schiene)";"  ÖStraPV    + ÖSchiPV    = ÖPV       ";"Personen-km";"Mrd.";"--";"--";153,50;"--";"--";160,80;"--";"--";"--";162,10;"--";"--";166,80;"--";"--";175,30;175,20;178,30
"BMVI ViZ 2020";"224/225";"Personenverkehr – Verkehrsleistung";"Motorisierter Individualverkehr";"MIV";"Personen-km";"Mrd.";"--";"--";875,60;"--";"--";882,60;"--";"--";"--";902,40;"--";"--";921,40;"--";"--";965,20;912,40;913,30
"MiD 2017";19;"Verkehrsleistung";"Zu Fuß";"FUSSGAENGER";"Personen-km ≈ km pro Tag x 365 Tage / 1.000";"Mrd.";"--";32,12;"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";33,95;"--"
"MiD 2017";19;"Verkehrsleistung";"Fahrrad";"FAHRRAD & PEDELEC";"Personen-km ≈ km pro Tag x 365 Tage / 1.000";"Mrd.";"--";29,93;"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";40,88;"--"
"MiD 2017";19;"Verkehrsleistung";"MIV-Fahrer";"--";"Personen-km ≈ km pro Tag x 365 Tage / 1.000";"Mrd.";"--";546,04;"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";640,21;"--"
"MiD 2017";19;"Verkehrsleistung";"MIV-Mitfahrer";"--";"Personen-km pro Tag x 365 Tage / 1.000";"Mrd.";"--";242,73;"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";237,25;"--"
"berechnet";"--";"Verkehrsleistung";"  MIV-Fahrer     + MIV-Mitfahrer  = MIV insgesamt";"MIV";"Personen-km pro Tag x 365 Tage / 1.000";"Mrd.";"--";788,77;"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";877,46;"--"
"MiD 2017";19;"Verkehrsleistung";"Öffentlicher Personen-Nahverkehr";"ÖPNV";"Personen-km pro Tag x 365 Tage / 1.000";"Mrd.";"--";89,43;"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";121,18;"--"
"MiD 2017";19;"Verkehrsleistung";"Öffentlicher Personen-Fernverkehr";"ÖPFV";"Personen-km pro Tag x 365 Tage / 1.000";"Mrd.";"--";51,83;"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";99,65;"--"
"berechnet";19;"Verkehrsleistung";"Öffentlicher Personen-Verkehr";"  ÖPNV       + ÖPFV       = ÖPV       ";"Personen-km pro Tag x 365 Tage / 1.000";"Mrd.";"--";141,26;"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";"--";220,83;"--"
