Quelle;entsprechendes Verkehrsmittel in der Unfallstatistik 2014-2019;2017
BMVI ViZ 2020;Fußgänger 5;35,70
BMVI ViZ 2020;Fahrrad 4;38,80
BMVI ViZ 2019;Kraftrad mit Versicherungskennzeichen 1;4,00
KBA ViK 2014–2020;Kraftrad mit amtlichem Kennzeichen 2;9,74
KBA ViK 2014–2020 ;Personenkraftwagen;630,84
KBA ViK 2014–2020 ;Bus;4,48
KBA ViK 2014–2020 ;Lastkraftwagen 3 bis einschließlich 3,5t;47,48
KBA ViK 2014–2020 ;Lastkraftwagen 3 über 3,5t;16,79
KBA ViK 2014–2020 ;Sattelzugmaschine;19,61
KBA ViK 2014–2020 ;übriges Güterkraftfahrzeug;0,47
KBA ViK 2014–2020 ;Landwirt. Zugmaschine;0,67
BMVI ViZ 2020;Straßenbahn;0,307
KBA ViK 2014–2020 ;anderer Verkehrsteilnehmer;4,18
