Deutschland ;;;;;;;;;;;;;;
3 Beteiligte an Straßenverkehrsunfällen 2019;;;;;;;;;;;;;;
3.1 Alleinunfälle und Unfälle mit zwei Beteiligten nach Ortslage;;;;;;;;;;;;;;
3.1.1 Nach Unfallverursacher und Unfallgegner ;;;;;;;;;;;;;;
"Spalten: Der erste Beteiligte (Hauptverursacher) war ein(e) ...
Zeilen: Der zweite Beteiligte (Nebenverursacher) war ein(e) ...";;;;;;;;;;;;;;
Unfälle mit Getöteten - Innerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 9; 27; 83; 1; 3; 1; 0; 1; 6; 100; 0; 0; 10; 241
Unfälle zwischen zwei Beteiligten insg.; 8; 15; 259; 5; 23; 46; 21; 7; 4; 75; 3; 102; 13; 581
Kraftrad mit Versicherungskennzeichen 1; 1; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 7
Kraftrad mit amtlichem Kennzeichen 2; 0; 0; 36; 0; 3; 2; 0; 1; 1; 1; 0; 2; 1; 47
Personenkraftwagen; 4; 6; 28; 1; 4; 5; 2; 0; 1; 45; 0; 55; 3; 154
Bus; 0; 1; 1; 0; 1; 0; 0; 0; 0; 1; 0; 4; 0; 8
Lastkraftwagen 3 bis einschließlich 3,5t; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2
Lastkraftwagen 3 über 3,5t; 1; 2; 7; 0; 0; 1; 0; 0; 0; 5; 0; 6; 1; 23
Sattelzugmaschine; 0; 2; 3; 0; 0; 0; 1; 0; 0; 3; 0; 3; 0; 12
übriges Güterkraftfahrzeug; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1
Landwirt. Zugmaschine; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 3
Fahrrad 4; 1; 0; 40; 2; 2; 26; 11; 3; 1; 4; 0; 4; 2; 96
Straßenbahn; 0; 0; 0; 0; 1; 0; 0; 0; 0; 7; 0; 12; 0; 20
Fußgänger 5; 0; 2; 125; 2; 11; 12; 7; 3; 1; 3; 3; 0; 6; 175
anderer Verkehrsteilnehmer; 0; 2; 12; 0; 1; 0; 0; 0; 0; 6; 0; 12; 0; 33
Unfälle mit Getöteten – Außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 10; 118; 421; 1; 14; 6; 8; 0; 5; 35; 0; 0; 8; 626
Unfälle zwischen zwei Beteiligten insg.; 15; 112; 621; 5; 63; 20; 25; 2; 18; 80; 0; 38; 14;1 013
Kraftrad mit Versicherungskennzeichen 1; 0; 0; 13; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 15
Kraftrad mit amtlichem Kennzeichen 2; 0; 11; 99; 0; 7; 3; 0; 0; 15; 6; 0; 0; 4; 145
Personenkraftwagen; 9; 73; 253; 1; 12; 3; 9; 2; 2; 52; 0; 30; 4; 450
Bus; 0; 2; 8; 0; 1; 1; 0; 0; 0; 0; 0; 1; 0; 13
Lastkraftwagen 3 bis einschließlich 3,5t; 1; 6; 22; 0; 0; 1; 0; 0; 1; 3; 0; 0; 4; 38
Lastkraftwagen 3 über 3,5t; 2; 5; 52; 0; 9; 2; 1; 0; 0; 4; 0; 1; 1; 77
Sattelzugmaschine; 0; 3; 76; 1; 21; 5; 6; 0; 0; 4; 0; 5; 1; 122
übriges Güterkraftfahrzeug; 0; 0; 9; 0; 0; 0; 2; 0; 0; 1; 0; 0; 0; 12
Landwirt. Zugmaschine; 0; 7; 9; 0; 0; 0; 1; 0; 0; 2; 0; 0; 0; 19
Fahrrad 4; 2; 3; 35; 0; 7; 2; 3; 0; 0; 4; 0; 0; 0; 56
Straßenbahn; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1
Fußgänger 5; 0; 0; 35; 3; 5; 1; 3; 0; 0; 2; 0; 0; 0; 49
anderer Verkehrsteilnehmer; 1; 2; 10; 0; 1; 0; 0; 0; 0; 2; 0; 0; 0; 16
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;19;145;504;2;17;7;8;1;11;135;0;0;18;867
Unfälle zwischen zwei Beteiligten insg.;23;127;880;10;86;66;46;9;22;155;3;140;27;1594
Kraftrad mit Versicherungskennzeichen 1;1;0;17;0;0;2;0;0;0;0;0;2;0;22
Kraftrad mit amtlichem Kennzeichen 2;0;11;135;0;10;5;0;1;16;7;0;2;5;192
Personenkraftwagen;13;79;281;2;16;8;11;2;3;97;0;85;7;604
Bus;0;3;9;0;2;1;0;0;0;1;0;5;0;21
Lastkraftwagen 3 bis einschließlich 3,5t;1;6;24;0;0;1;0;0;1;3;0;0;4;40
Lastkraftwagen 3 über 3,5t;3;7;59;0;9;3;1;0;0;9;0;7;2;100
Sattelzugmaschine;0;5;79;1;21;5;7;0;0;7;0;8;1;134
übriges Güterkraftfahrzeug;0;0;9;0;0;0;2;0;0;1;0;1;0;13
Landwirt. Zugmaschine;1;7;10;0;0;0;1;0;0;2;0;1;0;22
Fahrrad 4;3;3;75;2;9;28;14;3;1;8;0;4;2;152
Straßenbahn;0;0;0;0;1;0;0;0;0;7;0;13;0;21
Fußgänger 5;0;2;160;5;16;13;10;3;1;5;3;0;6;224
anderer Verkehrsteilnehmer;1;4;22;0;2;0;0;0;0;8;0;12;0;49
Unfälle mit Personenschaden - Innerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;2 949;3 155;7 062; 678; 185; 70; 40; 30; 145;16 391; 92; 0; 746;31 543
Unfälle zwischen zwei Beteiligten insg.;2 798;3 331; 113 277;1 485;4 961;1 939;1 071; 292; 334;20 371; 153;7 608;2 997; 160 617
Kraftrad mit Versicherungskennzeichen 1; 65; 37;4 575; 44; 209; 70; 28; 10; 15; 161; 1; 142; 132;5 489
Kraftrad mit amtlichem Kennzeichen 2; 44; 167;6 652; 56; 293; 82; 41; 18; 43; 247; 2; 168; 196;8 009
Personenkraftwagen;2 154;2 583;47 408; 458;1 960; 936; 610; 151; 151;11 033; 48;4 680; 587;72 759
Bus; 28; 30;1 706; 58; 82; 47; 19; 5; 3; 278; 2; 368; 121;2 747
Lastkraftwagen 3 bis einschließlich 3,5t; 77; 98;1 053; 16; 88; 32; 19; 3; 4; 288; 2; 115; 23;1 818
Lastkraftwagen 3 über 3,5t; 35; 45; 612; 21; 25; 18; 10; 4; 6; 118; 2; 48; 10; 954
