Hauptverursacher >;FUSSGÄNGER;FAHRRAD & PEDELEC;KRAFTRAD mit Vers.-Kennz.;KRAFTRAD mit amtl. Kennz.;PKW;BUS;LKW ≤ 3,5t;LKW > 3,5t;SATTELZUG-LKW;ÜBRIGE GÜTER-KFZ;LANDWIRT. KFZ;STRASSENBAHN;WOHNMOBIL, EISENBAHN, etc.;INSG
FUSSGÄNGER;0;0;1;0;27;0;3;1;1;0;0;0;0;33
FAHRRAD & PEDELEC;0;4;0;2;32;0;7;4;2;1;0;0;3;55
KRAFTRAD mit Vers.-Kennz.;0;1;1;1;7;0;1;0;1;0;0;0;0;12
KRAFTRAD mit amtl. Kennz.;2;3;0;15;100;2;7;2;3;1;7;0;1;143
PKW;40;61;11;68;262;0;15;7;11;0;4;0;2;481
BUS;1;1;0;3;10;0;0;0;0;1;0;0;0;16
LKW ≤ 3,5t;3;2;0;4;14;0;0;0;1;0;0;0;1;25
LKW > 3,5t;2;2;1;6;52;0;11;1;1;1;0;0;0;77
SATTELZUG-LKW;5;2;2;6;83;3;28;8;10;1;0;0;3;151
ÜBRIGE GÜTER-KFZ;0;0;0;1;11;0;0;2;0;0;0;0;0;14
LANDWIRT. KFZ;0;1;0;7;7;0;0;0;0;0;0;0;0;15
STRASSENBAHN;0;0;0;0;1;0;0;0;0;0;0;0;0;1
WOHNMOBIL, EISENBAHN, etc.;1;6;2;0;17;0;1;0;1;0;0;0;0;28
INSG;54;83;18;113;623;5;73;25;31;5;11;0;10;1051
