Hauptverursacher >;FUSSGÄNGER;FAHRRAD & PEDELEC;KRAFTRAD mit Vers.-Kennz.;KRAFTRAD mit amtl. Kennz.;PKW;BUS;LKW ≤ 3,5t;LKW > 3,5t;SATTELZUG-LKW;ÜBRIGE GÜTER-KFZ;LANDWIRT. KFZ;STRASSENBAHN;WOHNMOBIL, EISENBAHN, etc.;INSG
FUSSGÄNGER;0;2;1;6;135;4;17;23;14;1;1;4;3;209
FAHRRAD & PEDELEC;1;10;2;0;45;2;6;22;9;3;0;1;1;91
KRAFTRAD mit Vers.-Kennz.;1;1;0;0;13;0;3;0;1;0;0;0;1;18
KRAFTRAD mit amtl. Kennz.;1;1;0;0;34;0;2;0;1;2;0;0;0;39
PKW;45;29;6;22;40;1;2;0;0;0;0;0;5;76
BUS;2;4;1;0;2;0;0;0;0;0;0;0;1;4
LKW ≤ 3,5t;2;2;2;1;3;0;0;0;0;0;0;0;0;6
LKW > 3,5t;8;5;1;0;3;0;0;0;0;0;0;0;0;4
SATTELZUG-LKW;1;6;0;1;5;0;0;0;0;0;0;0;0;6
ÜBRIGE GÜTER-KFZ;0;2;0;0;1;0;0;0;1;0;0;0;0;2
LANDWIRT. KFZ;0;1;0;0;1;0;0;0;0;0;0;0;0;1
STRASSENBAHN;23;6;0;0;1;0;0;0;0;0;1;0;1;3
WOHNMOBIL, EISENBAHN, etc.;6;8;0;1;7;0;1;0;0;0;0;0;2;11
INSG;89;65;10;25;110;1;8;0;3;2;1;0;10;170
