Hauptverursacher >;FUSSGÄNGER;FAHRRAD & PEDELEC;KRAFTRAD mit Vers.-Kennz.;KRAFTRAD mit amtl. Kennz.;PKW;BUS;LKW ≤ 3,5t;LKW > 3,5t;SATTELZUG-LKW;ÜBRIGE GÜTER-KFZ;LANDWIRT. KFZ;STRASSENBAHN;WOHNMOBIL, EISENBAHN, etc.;INSG
FUSSGÄNGER;0;5;0;2;160;5;16;13;10;3;1;3;6;219
FAHRRAD & PEDELEC;4;8;3;3;75;2;9;28;14;3;1;0;2;140
KRAFTRAD mit Vers.-Kennz.;2;0;1;0;17;0;0;2;0;0;0;0;0;20
KRAFTRAD mit amtl. Kennz.;2;7;0;11;135;0;10;5;0;1;16;0;5;183
PKW;85;97;13;79;281;2;16;8;11;2;3;0;7;422
BUS;5;1;0;3;9;0;2;1;0;0;0;0;0;15
LKW ≤ 3,5t;0;3;1;6;24;0;0;1;0;0;1;0;4;37
LKW > 3,5t;7;9;3;7;59;0;9;3;1;0;0;0;2;84
SATTELZUG-LKW;8;7;0;5;79;1;21;5;7;0;0;0;1;119
ÜBRIGE GÜTER-KFZ;1;1;0;0;9;0;0;0;2;0;0;0;0;11
LANDWIRT. KFZ;1;2;1;7;10;0;0;0;1;0;0;0;0;19
STRASSENBAHN;13;7;0;0;0;0;1;0;0;0;0;0;0;1
WOHNMOBIL, EISENBAHN, etc.;12;8;1;4;22;0;2;0;0;0;0;0;0;29
INSG;136;142;20;122;645;3;61;25;22;3;20;0;19;940
