Hauptverursacher >;FUSSGÄNGER;FAHRRAD & PEDELEC;KRAFTRAD mit Vers.-Kennz.;KRAFTRAD mit amtl. Kennz.;PKW;BUS;LKW ≤ 3,5t;LKW > 3,5t;SATTELZUG-LKW;ÜBRIGE GÜTER-KFZ;LANDWIRT. KFZ;STRASSENBAHN;WOHNMOBIL, EISENBAHN, etc.;INSG
FUSSGÄNGER;0;2519;154;175;16466;411;763;240;100;30;46;46;507;21457
FAHRRAD & PEDELEC;1711;6476;275;245;37760;338;1624;574;277;72;105;9;1374;50840
KRAFTRAD mit Vers.-Kennz.;142;231;127;56;5629;59;282;106;65;10;26;2;205;6940
KRAFTRAD mit amtl. Kennz.;222;363;75;581;10474;78;449;175;104;31;155;1;325;13033
PKW;5051;12286;2683;4900;77201;561;3602;1812;1741;230;474;46;898;111485
BUS;342;310;25;39;1955;57;82;58;27;9;11;1;135;3051
LKW ≤ 3,5t;143;350;127;194;2144;28;165;73;66;10;17;4;42;3363
LKW > 3,5t;73;158;45;96;1416;12;150;136;113;12;15;4;28;2258
SATTELZUG-LKW;33;77;19;69;1610;15;218;116;221;11;5;1;32;2427
ÜBRIGE GÜTER-KFZ;10;32;3;18;203;6;14;11;7;6;6;0;2;318
LANDWIRT. KFZ;5;36;9;58;426;5;21;8;6;1;10;0;6;591
STRASSENBAHN;323;176;7;3;674;6;34;13;8;2;1;15;29;1291
WOHNMOBIL, EISENBAHN, etc.;76;193;39;84;1011;112;63;30;23;6;21;10;52;1720
INSG;8131;23207;3588;6518;156969;1688;7467;3352;2758;430;892;139;3635;218774
