Hauptverursacher >;FUSSGÄNGER;FAHRRAD & PEDELEC;KRAFTRAD mit Vers.-Kennz.;KRAFTRAD mit amtl. Kennz.;PKW;BUS;LKW ≤ 3,5t;LKW > 3,5t;SATTELZUG-LKW;ÜBRIGE GÜTER-KFZ;LANDWIRT. KFZ;STRASSENBAHN;WOHNMOBIL, EISENBAHN, etc.;INSG
FUSSGÄNGER;0;2384;134;126;15327;437;756;195;73;34;40;67;622;20195
FAHRRAD & PEDELEC;1646;5414;203;168;33996;284;1450;485;221;59;55;9;1220;45210
KRAFTRAD mit Vers.-Kennz.;142;161;65;37;4575;44;209;70;28;10;15;1;132;5489
KRAFTRAD mit amtl. Kennz.;168;247;44;167;6652;56;293;82;41;18;43;2;196;8009
PKW;4680;11033;2154;2583;47408;458;1960;936;610;151;151;48;587;72759
BUS;368;278;28;30;1706;58;82;47;19;5;3;2;121;2747
LKW ≤ 3,5t;115;288;77;98;1053;16;88;32;19;3;4;2;23;1818
LKW > 3,5t;48;118;35;45;612;21;25;18;10;4;6;2;10;954
SATTELZUG-LKW;28;52;13;21;278;5;13;19;16;1;1;1;8;456
ÜBRIGE GÜTER-KFZ;9;19;2;4;111;4;10;4;4;1;1;1;2;172
LANDWIRT. KFZ;9;22;7;14;132;1;3;2;1;0;6;0;4;201
STRASSENBAHN;337;164;3;7;607;7;26;22;12;3;0;10;25;1223
WOHNMOBIL, EISENBAHN, etc.;58;191;33;31;820;94;46;27;17;3;9;8;47;1384
INSG;7608;20371;2798;3331;113277;1485;4961;1939;1071;292;334;153;2997;160617
