Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;1;0;1;132;9;29;4;1;0;4;6;0;187
Fahrrad;2;7;1;1;32;1;23;16;1;0;1;2;0;87
Mofa, Moped;1;1;0;0;1;0;3;0;0;0;0;0;0;6
Motorrad;4;2;0;4;51;0;7;1;1;0;0;1;0;71
Personenkraftwagen;64;47;8;16;46;0;1;1;1;0;0;0;0;184
Kraftomnibus, Obus;5;3;0;0;3;0;0;0;0;0;0;0;0;11
Liefer- und Lastkraftw.;10;8;3;4;8;0;2;0;0;0;0;0;0;35
Sattelschlepper;4;4;1;0;9;0;0;0;0;0;0;0;0;18
Landwirt. Zugmaschine;1;0;1;0;2;0;0;0;0;0;0;0;0;4
andere Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LKW mit Spezialaufbau;1;0;0;0;0;0;0;0;0;0;0;0;0;1
anderes Fahrzeug;24;10;1;2;8;0;2;0;1;0;0;1;0;49
sonstige Person;0;0;0;0;2;0;0;1;0;0;0;0;0;3
Unfälle zwischen zwei Beteiligten insg.;116;83;15;28;294;10;67;23;5;0;5;10;0;656
Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2;0;2;41;1;5;2;1;1;0;4;0;59
Fahrrad;0;1;0;2;32;0;8;3;2;0;0;1;0;49
Mofa, Moped;0;0;0;2;8;0;0;0;0;0;0;1;0;11
Motorrad;0;9;0;20;105;1;17;1;11;1;0;0;0;165
Personenkraftwagen;34;52;15;67;338;0;30;10;4;0;2;3;2;557
Kraftomnibus, Obus;2;0;1;2;20;1;1;0;0;0;0;0;0;27
Liefer- und Lastkraftw.;11;8;2;18;117;2;19;5;0;0;1;1;0;184
Sattelschlepper;4;2;0;5;87;1;13;2;0;0;0;2;0;116
Landwirt. Zugmaschine;0;0;1;4;5;0;2;1;0;0;0;0;0;13
andere Zugmaschine;0;0;0;2;4;0;0;0;0;0;0;0;0;6
LKW mit Spezialaufbau;0;0;0;2;8;0;1;0;0;0;0;0;0;11
anderes Fahrzeug;0;1;1;5;13;0;3;0;0;0;0;0;0;23
sonstige Person;0;1;0;0;2;0;0;0;0;0;0;0;0;3
Unfälle zwischen zwei Beteiligten insg.;51;76;20;131;780;6;99;24;18;2;3;12;2;1224
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;3;0;3;173;10;34;6;2;1;4;10;0;246
Fahrrad;2;8;1;3;64;1;31;19;3;0;1;3;0;136
Mofa, Moped;1;1;0;2;9;0;3;0;0;0;0;1;0;17
Motorrad;4;11;0;24;156;1;24;2;12;1;0;1;0;236
Personenkraftwagen;98;99;23;83;384;0;31;11;5;0;2;3;2;741
Kraftomnibus, Obus;7;3;1;2;23;1;1;0;0;0;0;0;0;38
Liefer- und Lastkraftw.;21;16;5;22;125;2;21;5;0;0;1;1;0;219
Sattelschlepper;8;6;1;5;96;1;13;2;0;0;0;2;0;134
Landwirt. Zugmaschine;1;0;2;4;7;0;2;1;0;0;0;0;0;17
andere Zugmaschine;0;0;0;2;4;0;0;0;0;0;0;0;0;6
LKW mit Spezialaufbau;1;0;0;2;8;0;1;0;0;0;0;0;0;12
anderes Fahrzeug;24;11;2;7;21;0;5;0;1;0;0;1;0;72
sonstige Person;0;1;0;0;4;0;0;1;0;0;0;0;0;6
Unfälle zwischen zwei Beteiligten insg.;167;159;35;159;1074;16;166;47;23;2;8;22;2;1880
Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;1903;196;150;14687;404;1193;75;30;7;36;523;0;19204
Fahrrad;1212;3851;278;179;27229;237;2051;165;30;14;45;557;351;36199
Mofa, Moped;155;201;99;52;5692;42;455;53;21;10;7;158;43;6988
Motorrad;211;262;67;144;7292;43;534;49;35;7;10;155;47;8856
Personenkraftwagen;5203;9105;3048;2458;48539;465;4172;547;154;51;119;598;47;74506
Kraftomnibus, Obus;359;202;58;35;1569;37;131;19;3;3;3;77;36;2532
Liefer- und Lastkraftw.;300;537;194;184;2337;33;263;34;9;5;13;39;2;3950
Sattelschlepper;24;44;17;18;261;9;34;21;1;4;0;8;0;441
Landwirt. Zugmaschine;7;15;10;16;109;1;13;1;3;0;0;4;1;180
andere Zugmaschine;4;7;2;3;40;0;5;1;0;1;1;0;0;64
LKW mit Spezialaufbau;7;13;2;2;83;5;7;1;1;0;3;1;4;129
anderes Fahrzeug;376;234;50;42;1189;20;139;20;2;2;7;58;11;2150
sonstige Person;0;57;14;13;210;71;25;6;5;0;2;23;0;426
Unfälle zwischen zwei Beteiligten insg.;7858;16431;4035;3296;109237;1367;9022;992;294;104;246;2201;542;155625
Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;127;25;15;665;11;68;11;9;2;2;33;0;968
Fahrrad;80;527;58;57;1767;6;167;23;43;3;6;48;72;2857
Mofa, Moped;3;27;31;22;866;6;81;21;12;2;4;23;12;1110
Motorrad;15;82;29;298;2375;16;190;39;92;16;2;105;23;3282
Personenkraftwagen;298;794;420;1431;26258;112;2676;929;268;57;70;495;53;33861
Kraftomnibus, Obus;2;9;7;19;212;5;40;10;1;1;2;4;1;313
Liefer- und Lastkraftw.;36;57;36;134;2222;18;482;147;18;7;10;30;2;3199
Sattelschlepper;13;10;8;25;1048;7;228;152;4;3;5;26;1;1530
Landwirt. Zugmaschine;1;6;8;54;246;3;24;3;1;1;1;2;0;350
andere Zugmaschine;1;1;2;10;64;0;10;4;0;2;0;2;0;96
LKW mit Spezialaufbau;0;1;2;5;106;1;20;6;1;0;4;2;0;148
anderes Fahrzeug;6;16;6;31;256;0;44;12;8;0;0;12;1;392
sonstige Person;0;14;2;3;43;4;5;1;8;1;0;4;0;85
Unfälle zwischen zwei Beteiligten insg.;455;1671;634;2104;36128;189;4035;1358;465;95;106;786;165;48191
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;;2030;221;165;15352;415;1261;86;39;9;38;556;;20172
Fahrrad;1292;4378;336;236;28996;243;2218;188;73;17;51;605;423;39056
Mofa, Moped;158;228;130;74;6558;48;536;74;33;12;11;181;55;8098
Motorrad;226;344;96;442;9667;59;724;88;127;23;12;260;70;12138
Personenkraftwagen;5501;9899;3468;3889;74797;577;6848;1476;422;108;189;1093;100;108367
Kraftomnibus, Obus;361;211;65;54;1781;42;171;29;4;4;5;81;37;2845
Liefer- und Lastkraftw.;336;594;230;318;4559;51;745;181;27;12;23;69;4;7149
Sattelschlepper;37;54;25;43;1309;16;262;173;5;7;5;34;1;1971
Landwirt. Zugmaschine;8;21;18;70;355;4;37;4;4;1;1;6;1;530
andere Zugmaschine;5;8;4;13;104;;15;5;;3;1;2;;160
LKW mit Spezialaufbau;7;14;4;7;189;6;27;7;2;;7;3;4;277
anderes Fahrzeug;382;250;56;73;1445;20;183;32;10;2;7;70;12;2542
sonstige Person;;71;16;16;253;75;30;7;13;1;2;27;;511
Unfälle zwischen zwei Beteiligten insg.;8313;18102;4669;5400;145365;1556;13057;2350;759;199;352;2987;707;203816
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;12;0;0;0;0;0;0;0;0;12
