Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;6;1;0;144;5;16;30;11;2;2;4;5;226
Fahrrad 4;2;8;0;0;36;3;1;19;21;3;1;0;2;96
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;8;0;0;3;1;0;0;0;0;12
Kraftrad mit amtlichem Kennzeichen 2;2;2;0;0;46;0;5;0;0;1;2;0;0;58
Personenkraftwagen;67;47;3;16;46;0;2;1;2;0;0;0;1;185
Bus;2;4;0;0;2;0;0;0;0;0;0;0;0;8
Lastkraftwagen 3 bis einschließlich 3,5t;2;4;0;2;4;0;0;0;0;0;0;0;0;12
Lastkraftwagen 3 über 3,5t;5;2;2;3;9;0;0;0;0;0;0;0;0;21
Sattelzugmaschine;6;1;0;1;5;0;1;0;0;0;0;0;0;14
übriges Güterkraftfahrzeug;0;0;1;0;3;0;0;0;0;0;0;0;0;4
Landwirt. Zugmaschine;0;1;2;1;3;0;0;0;0;0;0;0;0;7
Straßenbahn;14;3;0;0;5;0;0;0;0;0;0;0;0;22
anderer Verkehrsteilnehmer;8;3;0;2;10;0;0;0;0;2;2;1;0;28
Unfälle zwischen zwei Beteiligten insg.;108;81;9;25;321;8;25;53;35;8;7;5;8;693
Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2;0;2;60;2;2;1;2;0;1;0;2;74
Fahrrad 4;1;2;0;4;21;1;5;2;1;1;2;0;0;40
Kraftrad mit Versicherungskennzeichen 1;2;0;0;0;3;0;0;0;0;0;1;0;0;6
Kraftrad mit amtlichem Kennzeichen 2;1;10;0;18;98;1;11;3;2;2;10;0;4;160
Personenkraftwagen;46;53;13;84;324;1;11;2;9;0;7;0;3;553
Bus;0;0;1;0;15;0;2;0;0;0;0;0;0;18
Lastkraftwagen 3 bis einschließlich 3,5t;3;6;0;4;25;0;0;2;2;0;0;0;0;42
Lastkraftwagen 3 über 3,5t;2;2;1;6;62;0;3;1;5;0;0;0;0;82
Sattelzugmaschine;3;4;2;8;86;0;12;8;12;1;0;0;1;137
übriges Güterkraftfahrzeug;1;0;0;2;5;0;2;1;0;0;0;0;1;12
Landwirt. Zugmaschine;0;2;0;9;7;0;0;0;0;0;0;0;0;18
Straßenbahn;1;0;0;0;0;0;0;0;0;0;0;0;0;1
anderer Verkehrsteilnehmer;0;2;2;3;14;0;1;0;1;0;0;0;0;23
Unfälle zwischen zwei Beteiligten insg.;60;83;19;140;720;5;49;20;34;4;21;0;11;1166
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;8;1;2;204;7;18;31;13;2;3;4;7;300
Fahrrad 4;3;10;0;4;57;4;6;21;22;4;3;0;2;136
Kraftrad mit Versicherungskennzeichen 1;2;0;0;0;11;0;0;3;1;0;1;0;0;18
Kraftrad mit amtlichem Kennzeichen 2;3;12;0;18;144;1;16;3;2;3;12;0;4;218
Personenkraftwagen;113;100;16;100;370;1;13;3;11;0;7;0;4;738
Bus;2;4;1;0;17;0;2;0;0;0;0;0;0;26
Lastkraftwagen 3 bis einschließlich 3,5t;5;10;0;6;29;0;0;2;2;0;0;0;0;54
Lastkraftwagen 3 über 3,5t;7;4;3;9;71;0;3;1;5;0;0;0;0;103
Sattelzugmaschine;9;5;2;9;91;0;13;8;12;1;0;0;1;151
übriges Güterkraftfahrzeug;1;0;1;2;8;0;2;1;0;0;0;0;1;16
Landwirt. Zugmaschine;0;3;2;10;10;0;0;0;0;0;0;0;0;25
Straßenbahn;15;3;0;0;5;0;0;0;0;0;0;0;0;23
anderer Verkehrsteilnehmer;8;5;2;5;24;0;1;0;1;2;2;1;0;51
Unfälle zwischen zwei Beteiligten insg.;168;164;28;165;1041;13;74;73;69;12;28;5;19;1859
Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2203;141;149;16136;440;811;237;76;42;39;60;540;20874
Fahrrad 4;1445;4580;184;203;32821;260;1564;557;224;67;54;10;990;42959
Kraftrad mit Versicherungskennzeichen 1;136;205;71;32;5384;48;259;90;40;16;14;1;190;6486
Kraftrad mit amtlichem Kennzeichen 2;193;276;57;149;7737;55;370;100;40;12;35;1;179;9204
Personenkraftwagen;5014;10558;2557;2853;50928;440;2325;1078;575;121;159;41;505;77154
Bus;349;255;38;34;1709;30;76;56;16;4;6;1;121;2695
Lastkraftwagen 3 bis einschließlich 3,5t;170;361;96;94;1224;16;100;52;19;4;6;3;17;2162
Lastkraftwagen 3 über 3,5t;54;126;41;35;618;6;37;48;15;1;2;3;9;995
Sattelzugmaschine;23;50;12;20;259;4;16;17;21;1;3;0;6;432
übriges Güterkraftfahrzeug;6;26;14;6;112;4;5;2;1;4;1;0;0;181
Landwirt. Zugmaschine;6;15;11;15;139;2;7;2;3;1;2;0;4;207
Straßenbahn;307;145;15;6;596;5;25;12;8;0;0;11;24;1154
anderer Verkehrsteilnehmer;53;174;32;36;682;90;40;24;9;12;10;9;26;1197
Unfälle zwischen zwei Beteiligten insg.;7756;18974;3269;3632;118345;1400;5635;2275;1047;285;331;140;2611;165700
Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;134;28;17;647;12;45;21;8;0;13;1;38;964
Fahrrad 4;60;615;45;54;2103;9;103;44;24;10;44;0;185;3296
Kraftrad mit Versicherungskennzeichen 1;15;26;20;10;765;10;41;39;23;1;14;0;45;1009
Kraftrad mit amtlichem Kennzeichen 2;16;101;22;360;2660;18;128;72;66;14;87;0;158;3702
Personenkraftwagen;315;837;298;1820;28696;134;1510;808;1016;93;335;0;512;36374
Bus;5;9;5;13;189;0;15;13;9;1;2;0;5;266
Lastkraftwagen 3 bis einschließlich 3,5t;17;40;19;80;1035;4;107;58;54;9;17;0;21;1461
Lastkraftwagen 3 über 3,5t;12;15;5;48;914;6;96;125;98;10;4;1;12;1346
Sattelzugmaschine;10;13;8;45;1118;5;156;123;179;11;2;0;11;1681
übriges Güterkraftfahrzeug;2;2;1;8;121;3;9;10;12;1;2;0;6;177
Landwirt. Zugmaschine;1;16;6;48;282;2;17;5;8;1;8;0;3;397
Straßenbahn;3;0;0;0;5;0;0;0;0;0;0;0;0;8
anderer Verkehrsteilnehmer;6;25;5;31;268;9;25;18;18;1;12;0;16;434
Unfälle zwischen zwei Beteiligten insg.;462;1833;462;2534;38803;212;2252;1336;1515;152;540;2;1012;51115
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2337;169;166;16783;452;856;258;84;42;52;61;578;21838
Fahrrad 4;1505;5195;229;257;34924;269;1667;601;248;77;98;10;1175;46255
Kraftrad mit Versicherungskennzeichen 1;151;231;91;42;6149;58;300;129;63;17;28;1;235;7495
Kraftrad mit amtlichem Kennzeichen 2;209;377;79;509;10397;73;498;172;106;26;122;1;337;12906
Personenkraftwagen;5329;11395;2855;4673;79624;574;3835;1886;1591;214;494;41;1017;113528
Bus;354;264;43;47;1898;30;91;69;25;5;8;1;126;2961
Lastkraftwagen 3 bis einschließlich 3,5t;187;401;115;174;2259;20;207;110;73;13;23;3;38;3623
Lastkraftwagen 3 über 3,5t;66;141;46;83;1532;12;133;173;113;11;6;4;21;2341
Sattelzugmaschine;33;63;20;65;1377;9;172;140;200;12;5;0;17;2113
übriges Güterkraftfahrzeug;8;28;15;14;233;7;14;12;13;5;3;0;6;358
Landwirt. Zugmaschine;7;31;17;63;421;4;24;7;11;2;10;0;7;604
Straßenbahn;310;145;15;6;601;5;25;12;8;0;0;11;24;1162
