Auf Autobahnen - Unfälle mit Getöteten;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;3;0;1;1;0;0;0;1;0;6
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Motorrad;0;0;0;2;6;0;4;0;0;0;0;0;0;12
Personenkraftwagen;6;1;0;4;38;0;5;2;0;0;0;1;0;57
Kraftomnibus, Obus;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Liefer- und Lastkraftw.;1;0;0;2;15;0;5;3;0;0;0;1;0;27
Sattelschlepper;0;0;0;3;29;0;10;3;0;0;0;0;0;45
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
andere Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LKW mit Spezialaufbau;0;0;0;0;1;0;1;0;0;0;0;0;0;2
anderes Fahrzeug;0;0;0;0;1;1;0;0;0;0;0;0;0;2
sonstige Person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unfälle zwischen zwei Beteiligten insg.;7;1;0;11;95;1;27;9;0;0;0;3;0;154
