Auf Autobahnen - Unfälle mit Getöteten;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;2;1;3;0;0;0;0;6
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Personenkraftwagen;4;0;0;4;22;0;2;2;1;0;0;0;0;35
Bus;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;0;0;3;0;1;0;0;0;0;0;0;4
Lastkraftwagen 3 über 3,5t;0;0;0;1;12;0;3;6;4;1;0;0;1;28
Sattelzugmaschine;0;1;0;1;24;0;13;5;6;0;0;0;0;50
übriges Güterkraftfahrzeug;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unfälle zwischen zwei Beteiligten insg.;4;1;0;6;64;0;22;14;14;1;0;0;1;127
