Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;1;0;0;54;1;11;2;2;0;0;5;0;76
Fahrrad;0;3;0;2;29;1;7;3;1;0;0;2;0;48
Mofa, Moped;1;0;0;1;13;0;2;0;0;0;0;1;0;18
Motorrad;3;4;0;12;99;1;15;1;10;0;0;3;0;148
Personenkraftwagen;49;49;10;95;377;1;34;17;6;0;1;5;0;644
Kraftomnibus, Obus;1;1;0;2;10;0;0;0;0;0;0;0;0;14
Liefer- und Lastkraftw.;14;6;0;13;95;0;17;0;0;0;0;1;0;146
Sattelschlepper;5;5;1;6;78;0;20;5;0;0;0;0;0;120
Landwirt. Zugmaschine;0;0;1;2;5;0;2;0;0;0;0;0;0;10
andere Zugmaschine;0;0;0;1;1;0;0;0;0;0;0;0;0;2
LKW mit Spezialaufbau;0;0;1;1;7;1;1;0;0;0;0;0;0;11
anderes Fahrzeug;3;0;1;3;15;0;1;0;0;0;0;0;0;23
sonstige Person;0;1;0;0;2;0;0;0;0;0;0;0;0;3
Unfälle zwischen zwei Beteiligten insg.;76;70;14;138;785;5;110;28;19;0;1;17;0;1263
