Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;1;0;27;0;3;1;1;0;0;0;0;33
Fahrrad 4;0;4;0;2;32;0;7;4;2;1;0;0;3;55
Kraftrad mit Versicherungskennzeichen 1;0;1;1;1;7;0;1;0;1;0;0;0;0;12
Kraftrad mit amtlichem Kennzeichen 2;2;3;0;15;100;2;7;2;3;1;7;0;1;143
Personenkraftwagen;40;61;11;68;262;0;15;7;11;0;4;0;2;481
Bus;1;1;0;3;10;0;0;0;0;1;0;0;0;16
Lastkraftwagen 3 bis einschließlich 3,5t;3;2;0;4;14;0;0;0;1;0;0;0;1;25
Lastkraftwagen 3 über 3,5t;2;2;1;6;52;0;11;1;1;1;0;0;0;77
Sattelzugmaschine;5;2;2;6;83;3;28;8;10;1;0;0;3;151
übriges Güterkraftfahrzeug;0;0;0;1;11;0;0;2;0;0;0;0;0;14
Landwirt. Zugmaschine;0;1;0;7;7;0;0;0;0;0;0;0;0;15
Straßenbahn;0;0;0;0;1;0;0;0;0;0;0;0;0;1
anderer Verkehrsteilnehmer;1;6;2;0;17;0;1;0;1;0;0;0;0;28
Unfälle zwischen zwei Beteiligten insg.;54;83;18;113;623;5;73;25;31;5;11;0;10;1051
