Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;5;0;5;212;5;46;8;0;2;7;8;0;298
Fahrrad;4;7;1;3;61;8;26;24;1;1;1;2;1;140
Mofa, Moped;1;1;1;0;13;0;2;0;0;0;1;1;0;20
Motorrad;2;4;0;14;132;1;18;6;10;0;1;3;1;192
Personenkraftwagen;110;77;20;89;336;1;16;7;3;0;1;7;2;669
Kraftomnibus, Obus;7;6;1;4;20;0;0;0;1;0;0;1;0;40
Liefer- und Lastkraftw.;17;16;2;11;96;1;13;3;0;0;0;1;0;160
Sattelschlepper;5;3;2;9;92;0;14;4;0;0;0;0;0;129
Landwirt. Zugmaschine;0;0;0;3;7;0;0;0;0;0;0;0;0;10
andere Zugmaschine;0;0;0;0;2;0;0;0;0;0;0;0;0;2
LKW mit Spezialaufbau;1;0;0;2;7;0;1;0;0;0;0;0;0;11
anderes Fahrzeug;36;8;2;1;25;1;0;4;1;0;2;0;0;80
sonstige Person;0;0;0;1;1;0;0;0;0;0;0;1;0;3
Unfälle zwischen zwei Beteiligten insg.;183;127;29;142;1004;17;136;56;16;3;13;24;4;1754
