Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;8;1;2;168;4;18;29;16;3;2;2;5;258
Fahrrad 4;3;9;0;2;84;0;10;26;16;6;3;0;0;159
Kraftrad mit Versicherungskennzeichen 1;1;2;0;2;15;0;3;4;0;0;1;0;1;29
Kraftrad mit amtlichem Kennzeichen 2;6;8;3;13;131;1;3;7;3;2;9;0;1;187
Personenkraftwagen;100;82;15;84;336;0;11;9;8;1;3;0;10;659
Bus;3;3;1;2;13;0;0;0;0;0;0;0;0;22
Lastkraftwagen 3 bis einschließlich 3,5t;3;4;1;4;21;0;2;1;2;0;0;0;2;40
Lastkraftwagen 3 über 3,5t;12;8;2;10;69;0;7;1;3;0;0;0;1;113
Sattelzugmaschine;12;4;0;9;80;0;20;6;4;0;0;0;1;136
übriges Güterkraftfahrzeug;3;3;0;3;5;0;2;2;2;0;0;0;0;20
Landwirt. Zugmaschine;0;1;1;9;9;0;1;0;0;0;1;0;0;22
Straßenbahn;21;6;0;0;1;0;0;0;0;0;0;0;0;28
anderer Verkehrsteilnehmer;9;5;0;5;22;0;0;3;0;1;0;0;1;46
Unfälle zwischen zwei Beteiligten insg.;173;143;24;145;954;5;77;88;54;13;19;2;22;1719
