Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2;0;3;155;5;39;7;0;2;5;6;0;224
Fahrrad;4;5;1;0;37;8;22;20;0;1;1;2;1;102
Mofa, Moped;1;0;0;0;6;0;0;0;0;0;0;1;0;8
Motorrad;2;0;0;0;41;0;1;2;2;0;1;1;0;50
Personenkraftwagen;69;36;3;14;29;0;1;1;0;0;0;3;1;157
Kraftomnibus, Obus;7;4;1;2;6;0;0;0;0;0;0;0;0;20
Liefer- und Lastkraftw.;11;8;0;3;9;0;1;0;0;0;0;0;0;32
Sattelschlepper;4;2;2;1;5;0;0;0;0;0;0;0;0;14
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
andere Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
LKW mit Spezialaufbau;1;0;0;0;0;0;0;0;0;0;0;0;0;1
anderes Fahrzeug;31;8;1;0;10;0;0;3;1;0;2;0;0;56
sonstige Person;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Unfälle zwischen zwei Beteiligten insg.;130;65;8;23;300;13;64;33;3;3;9;14;2;667
