Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2;1;6;135;4;17;23;14;1;1;4;3;211
Fahrrad 4;1;10;2;0;45;2;6;22;9;3;0;1;1;102
Kraftrad mit Versicherungskennzeichen 1;1;1;0;0;13;0;3;0;1;0;0;0;1;20
Kraftrad mit amtlichem Kennzeichen 2;1;1;0;0;34;0;2;0;1;2;0;0;0;41
Personenkraftwagen;45;29;6;22;40;1;2;0;0;0;0;0;5;150
Bus;2;4;1;0;2;0;0;0;0;0;0;0;1;10
Lastkraftwagen 3 bis einschließlich 3,5t;2;2;2;1;3;0;0;0;0;0;0;0;0;10
Lastkraftwagen 3 über 3,5t;8;5;1;0;3;0;0;0;0;0;0;0;0;17
Sattelzugmaschine;1;6;0;1;5;0;0;0;0;0;0;0;0;13
übriges Güterkraftfahrzeug;0;2;0;0;1;0;0;0;1;0;0;0;0;4
Landwirt. Zugmaschine;0;1;0;0;1;0;0;0;0;0;0;0;0;2
Straßenbahn;23;6;0;0;1;0;0;0;0;0;1;0;1;32
anderer Verkehrsteilnehmer;6;8;0;1;7;0;1;0;0;0;0;0;2;25
Unfälle zwischen zwei Beteiligten insg.;90;77;13;31;290;7;31;45;26;6;2;5;14;637
