Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;1;31;1;5;4;0;1;1;1;0;45
Fahrrad;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Mofa, Moped;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Motorrad;0;0;0;14;114;1;19;4;0;0;0;10;0;162
Personenkraftwagen;19;1;2;165;5040;19;627;486;1;5;19;106;3;6493
Kraftomnibus, Obus;0;0;0;0;29;0;4;2;0;0;0;0;0;35
Liefer- und Lastkraftw.;3;0;0;14;617;4;189;85;0;0;2;11;1;926
Sattelschlepper;6;0;1;11;580;4;172;86;0;2;3;8;0;873
Landwirt. Zugmaschine;0;0;0;0;2;0;0;0;0;0;0;0;0;2
andere Zugmaschine;0;0;0;1;7;0;5;1;0;1;0;0;0;15
LKW mit Spezialaufbau;0;0;0;0;8;0;8;3;0;0;0;0;0;19
anderes Fahrzeug;0;0;0;2;51;0;8;7;0;0;1;3;0;72
sonstige Person;0;0;0;0;4;0;2;0;0;0;0;0;0;6
Unfälle zwischen zwei Beteiligten insg.;28;1;3;208;6486;29;1039;678;1;9;26;139;4;8651
