Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;1;34;0;6;2;4;0;0;0;2;49
Fahrrad 4;0;1;0;0;4;0;1;0;0;0;0;0;0;6
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;19;138;0;7;4;6;1;0;0;11;186
Personenkraftwagen;22;0;1;196;6053;28;384;271;584;19;1;0;113;7672
Bus;0;0;0;0;29;0;3;1;1;0;0;0;0;34
Lastkraftwagen 3 bis einschließlich 3,5t;4;0;0;10;245;1;38;21;30;2;0;0;8;359
Lastkraftwagen 3 über 3,5t;2;0;0;12;376;2;59;65;72;5;0;0;4;597
Sattelzugmaschine;6;0;0;18;714;1;125;83;147;5;1;0;5;1105
übriges Güterkraftfahrzeug;1;0;0;0;43;1;2;4;7;1;0;0;0;59
Landwirt. Zugmaschine;0;0;0;0;3;0;0;1;0;0;0;0;0;4
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;1;1;0;0;64;3;9;7;11;0;0;0;3;99
Unfälle zwischen zwei Beteiligten insg.;36;2;1;256;7704;36;634;459;862;33;2;0;146;10171
