Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;130;21;20;650;9;84;15;13;1;3;49;0;995
Fahrrad;87;610;50;60;1929;14;170;30;40;2;9;73;70;3144
Mofa, Moped;7;16;19;23;747;5;64;15;24;1;3;47;8;979
Motorrad;25;82;35;346;2428;18;182;49;93;10;2;111;16;3397
Personenkraftwagen;281;740;319;1484;26861;120;2484;974;290;34;58;432;49;34126
Kraftomnibus, Obus;2;7;7;11;197;1;30;9;5;1;1;5;1;277
Liefer- und Lastkraftw.;23;65;29;119;2090;17;345;136;18;4;11;33;1;2891
Sattelschlepper;7;13;7;40;1036;4;236;126;10;1;5;17;1;1503
Landwirt. Zugmaschine;4;10;4;46;280;2;22;5;5;0;0;2;2;382
andere Zugmaschine;0;1;2;4;33;0;8;2;1;1;0;0;1;53
LKW mit Spezialaufbau;0;1;3;4;90;0;10;5;0;1;3;2;0;119
anderes Fahrzeug;10;11;3;27;232;2;21;14;5;1;1;11;2;340
sonstige Person;0;14;4;7;47;2;9;0;8;0;0;4;0;95
Unfälle zwischen zwei Beteiligten insg.;446;1700;503;2191;36620;194;3665;1380;512;57;96;786;151;48301
