Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;152;17;7;595;11;48;10;12;1;11;0;32;896
Fahrrad 4;79;866;54;64;2304;14;107;43;31;7;53;0;165;3787
Kraftrad mit Versicherungskennzeichen 1;7;22;20;11;670;9;25;26;10;2;12;0;40;854
Kraftrad mit amtlichem Kennzeichen 2;12;93;23;366;2579;13;89;67;52;6;93;0;124;3517
Personenkraftwagen;250;899;282;1700;28704;125;1517;790;1109;88;286;0;404;36154
Bus;4;8;2;14;206;2;16;13;10;0;4;0;10;289
Lastkraftwagen 3 bis einschließlich 3,5t;8;32;14;70;921;4;112;43;41;9;8;0;21;1283
Lastkraftwagen 3 über 3,5t;4;27;13;44;835;6;113;99;66;6;7;0;25;1245
Sattelzugmaschine;8;17;3;31;1236;10;199;104;172;7;5;0;22;1814
übriges Güterkraftfahrzeug;1;2;2;7;128;1;9;9;11;4;2;0;2;178
Landwirt. Zugmaschine;0;12;4;52;304;1;17;5;6;0;9;0;0;410
Straßenbahn;3;0;0;0;6;0;0;0;0;0;0;0;0;9
anderer Verkehrsteilnehmer;2;23;9;32;269;4;24;20;12;1;10;0;21;427
Unfälle zwischen zwei Beteiligten insg.;378;2153;443;2398;38757;200;2276;1229;1532;131;500;0;866;50863
