Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2286;230;136;16629;390;1233;68;47;7;39;667;0;21732
Fahrrad;1502;4991;323;242;33315;254;2562;235;103;22;47;733;421;44750
Mofa, Moped;184;200;115;49;6766;68;543;54;41;2;8;202;50;8282
Motorrad;218;388;100;414;10061;78;668;94;145;7;23;273;61;12530
Personenkraftwagen;5601;11030;3364;4068;76558;544;6126;1411;452;64;181;1003;70;110472
Kraftomnibus, Obus;314;234;40;51;1854;33;146;16;9;3;6;78;41;2825
Liefer- und Lastkraftw.;274;585;209;277;4232;55;686;168;50;6;23;65;9;6639
Sattelschlepper;30;55;33;41;1250;10;269;131;6;6;10;24;2;1867
Landwirt. Zugmaschine;12;32;22;57;381;3;31;4;9;2;3;4;1;561
andere Zugmaschine;0;8;6;8;54;0;10;2;1;4;0;1;0;94
LKW mit Spezialaufbau;6;18;4;9;156;1;21;11;1;1;4;2;1;235
anderes Fahrzeug;400;259;38;64;1385;14;124;30;13;2;4;68;20;2421
sonstige Person;0;52;15;16;255;66;37;3;13;0;2;16;0;475
Unfälle zwischen zwei Beteiligten insg.;8541;20138;4499;5432;152896;1516;12456;2227;890;126;350;3136;676;212883
