Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2356;145;126;12503;308;656;177;66;41;39;39;549;17005
Fahrrad 4;1800;7129;242;267;34121;270;1466;504;228;64;130;5;1437;47663
Kraftrad mit Versicherungskennzeichen 1;116;187;95;50;4336;28;220;72;41;13;23;0;166;5347
Kraftrad mit amtlichem Kennzeichen 2;148;414;66;590;7917;57;367;128;86;24;121;3;305;10226
Personenkraftwagen;3551;11267;2079;3799;58476;407;2861;1435;1345;148;377;31;1052;86828
Bus;255;252;36;45;1411;48;62;35;23;7;5;1;95;2275
Lastkraftwagen 3 bis einschließlich 3,5t;113;317;98;128;1550;11;163;66;58;3;11;2;44;2564
Lastkraftwagen 3 über 3,5t;37;145;35;59;1144;17;135;103;87;7;5;2;19;1795
Sattelzugmaschine;33;64;8;43;1228;10;172;92;141;7;5;0;23;1826
übriges Güterkraftfahrzeug;7;19;2;11;153;7;9;11;12;2;2;0;6;241
Landwirt. Zugmaschine;6;42;15;76;417;3;17;11;4;0;7;0;7;605
Straßenbahn;251;135;8;4;443;4;13;7;6;0;1;8;22;902
anderer Verkehrsteilnehmer;95;298;36;77;1318;82;69;45;34;5;28;9;81;2177
Unfälle zwischen zwei Beteiligten insg.;6412;22625;2865;5275;125017;1252;6210;2686;2131;321;754;100;3806;179454
