Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2029;145;123;15992;413;1139;69;36;13;35;623;2;20619
Fahrrad;1384;4144;228;182;29945;240;2100;196;42;11;50;623;305;39450
Mofa, Moped;128;172;97;47;5276;43;362;30;17;1;5;139;32;6349
Motorrad;187;253;59;165;7028;53;437;45;39;2;9;162;39;8478
Personenkraftwagen;5002;9708;2565;2458;49203;398;3565;579;143;27;93;537;26;74304
Kraftomnibus, Obus;347;239;47;39;1563;42;122;17;6;2;3;86;46;2559
Liefer- und Lastkraftw.;252;502;141;144;2083;25;221;24;12;3;7;37;2;3453
Sattelschlepper;29;50;16;27;267;7;26;21;1;0;0;6;1;451
Landwirt. Zugmaschine;7;19;7;7;82;0;5;1;3;0;0;0;0;131
andere Zugmaschine;0;6;4;2;30;4;2;0;0;3;0;0;0;51
LKW mit Spezialaufbau;2;16;4;3;68;1;12;3;0;0;3;0;2;114
anderes Fahrzeug;397;235;31;31;1027;14;104;12;4;0;3;57;12;1927
sonstige Person;0;44;8;9;181;59;23;0;8;0;6;22;0;360
Unfälle zwischen zwei Beteiligten insg.;7735;17417;3352;3237;112745;1299;8118;997;311;62;214;2292;467;158246
