Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2291;137;139;16158;424;807;210;78;38;40;68;576;20966
Fahrrad 4;1525;4837;204;212;33579;276;1555;563;224;76;41;16;1052;44160
Kraftrad mit Versicherungskennzeichen 1;127;154;60;33;5043;35;243;88;29;11;12;4;160;5999
Kraftrad mit amtlichem Kennzeichen 2;208;287;63;171;7234;57;362;100;40;21;30;0;179;8752
Personenkraftwagen;5141;10803;2362;2722;51281;468;2254;1039;661;146;146;44;481;77548
Bus;311;261;31;39;1708;43;80;35;12;4;4;2;111;2641
Lastkraftwagen 3 bis einschließlich 3,5t;117;342;97;118;1273;16;91;31;22;4;5;1;23;2140
Lastkraftwagen 3 über 3,5t;55;143;34;39;608;15;34;38;6;2;4;3;12;993
Sattelzugmaschine;28;60;18;19;314;3;11;20;10;2;0;2;12;499
übriges Güterkraftfahrzeug;8;28;6;11;125;2;4;5;2;2;1;1;1;196
Landwirt. Zugmaschine;3;16;11;23;123;2;5;1;2;0;4;0;3;193
Straßenbahn;325;159;7;5;626;10;34;14;7;7;0;12;20;1226
anderer Verkehrsteilnehmer;70;173;28;43;734;91;40;33;10;4;8;6;38;1278
Unfälle zwischen zwei Beteiligten insg.;7918;19554;3058;3574;118806;1442;5520;2177;1103;317;295;159;2668;166591
