Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;0;3;0;1;1;0;0;0;3;0;8
Personenkraftwagen;0;0;0;13;1995;11;381;279;1;2;11;418;2;3113
Kraftomnibus, Obus;0;0;0;0;17;0;2;1;0;0;0;1;0;21
Liefer- und Lastkraftw.;0;0;0;0;375;3;75;39;0;2;0;50;0;544
Sattelschlepper;0;0;0;0;432;0;72;62;0;0;1;24;0;591
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
andere Zugmaschine;0;0;0;0;7;0;0;1;0;1;1;0;0;10
LKW mit Spezialaufbau;0;0;0;0;17;0;1;1;0;0;0;0;0;19
anderes Fahrzeug;0;0;0;0;27;0;3;3;0;0;0;1;0;34
sonstige Person;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Unfälle zwischen zwei Beteiligten insg.;0;0;0;13;2876;14;535;387;1;5;13;497;2;4343
