Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;1;4;0;0;1;1;0;0;0;1;8
Personenkraftwagen;0;0;0;7;1425;3;135;147;268;15;0;0;280;2280
Bus;0;0;0;0;3;0;1;0;0;0;0;0;0;4
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;0;0;110;0;17;13;25;0;0;0;14;179
Lastkraftwagen 3 über 3,5t;0;0;0;0;156;0;27;11;29;1;0;0;10;234
Sattelzugmaschine;0;0;0;1;401;0;50;19;64;1;0;0;18;554
übriges Güterkraftfahrzeug;0;0;0;0;14;0;1;2;0;0;0;0;0;17
Landwirt. Zugmaschine;0;0;0;0;1;0;1;0;0;0;0;0;0;2
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;25;0;3;0;4;0;0;0;2;34
Unfälle zwischen zwei Beteiligten insg.;0;0;0;9;2139;3;235;193;391;17;0;0;325;3312
