Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;3;0;0;0;0;0;0;0;0;3
Fahrrad;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Mofa, Moped;0;0;0;0;23;0;4;2;0;0;0;0;0;29
Motorrad;0;1;1;6;140;3;15;3;3;0;0;13;0;185
Personenkraftwagen;21;14;41;120;10599;42;1203;421;126;28;37;789;15;13456
Kraftomnibus, Obus;0;0;0;4;89;1;13;1;2;1;0;2;0;113
Liefer- und Lastkraftw.;3;2;1;6;1219;2;195;72;16;1;6;60;2;1585
Sattelschlepper;0;0;0;5;670;1;94;65;4;1;2;30;0;872
Landwirt. Zugmaschine;0;0;0;2;135;0;13;3;2;0;0;2;0;157
andere Zugmaschine;0;0;0;0;23;0;7;1;0;0;0;0;0;31
LKW mit Spezialaufbau;0;0;0;2;60;0;5;2;0;0;1;1;0;71
anderes Fahrzeug;0;0;0;1;130;0;12;2;3;0;1;7;0;156
sonstige Person;0;0;0;0;10;0;1;0;0;0;0;0;0;11
Unfälle zwischen zwei Beteiligten insg.;24;17;43;146;13103;49;1562;572;156;31;47;904;17;16671
