Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;1;1;0;0;0;0;0;0;0;2
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;17;0;2;2;0;0;0;0;0;21
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;5;119;3;8;10;4;1;0;0;14;164
Personenkraftwagen;8;7;15;106;9320;44;484;418;434;66;89;0;710;11701
Bus;0;0;0;1;65;0;3;4;1;1;1;0;3;79
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;1;469;4;38;29;38;2;3;0;25;610
Lastkraftwagen 3 über 3,5t;0;0;0;5;541;1;48;27;24;3;3;0;22;674
Sattelzugmaschine;0;0;1;2;737;5;54;37;75;4;4;0;28;947
übriges Güterkraftfahrzeug;0;0;0;0;74;0;3;3;2;2;0;0;1;85
Landwirt. Zugmaschine;0;0;0;1;137;0;6;5;4;1;3;0;0;157
Straßenbahn;0;0;0;0;4;0;0;0;0;0;0;0;0;4
anderer Verkehrsteilnehmer;0;0;0;1;125;2;8;4;1;1;2;0;3;147
Unfälle zwischen zwei Beteiligten insg.;9;7;16;122;11609;60;654;539;583;81;105;0;806;14591
