Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;12;0;0;0;0;0;0;0;0;12
Fahrrad;0;0;0;0;25;0;2;1;0;0;0;1;0;29
Mofa, Moped;2;0;5;4;217;3;32;4;2;1;0;21;1;292
Motorrad;0;6;2;12;483;5;61;9;5;0;1;34;0;618
Personenkraftwagen;60;75;234;241;41582;226;3548;842;203;69;111;1947;66;49204
Kraftomnibus, Obus;0;1;0;3;500;1;45;3;3;1;0;4;1;562
Liefer- und Lastkraftw.;3;3;7;21;3586;16;453;120;25;2;13;140;3;4392
Sattelschlepper;0;1;0;1;1165;2;180;113;4;2;4;36;2;1510
Landwirt. Zugmaschine;0;0;0;2;184;0;21;6;3;1;1;1;0;219
andere Zugmaschine;0;0;0;2;71;1;4;2;0;1;0;2;0;83
LKW mit Spezialaufbau;0;0;0;2;138;0;20;12;2;3;1;7;0;185
anderes Fahrzeug;0;2;1;2;737;3;52;17;3;1;4;17;0;839
sonstige Person;0;0;1;0;29;0;1;0;1;0;0;0;0;32
Unfälle zwischen zwei Beteiligten insg.;65;88;250;290;48729;257;4419;1129;251;81;135;2210;73;57977
