Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;14;0;0;0;0;0;0;0;0;14
Fahrrad 4;0;0;0;0;33;0;1;2;0;0;0;0;0;36
Kraftrad mit Versicherungskennzeichen 1;0;2;3;0;186;0;18;8;1;1;2;0;26;247
Kraftrad mit amtlichem Kennzeichen 2;1;6;0;7;395;4;30;15;8;2;6;0;56;530
Personenkraftwagen;46;68;159;232;32763;201;1408;892;743;109;196;9;2049;38875
Bus;0;0;2;2;397;3;13;4;3;2;1;0;6;433
Lastkraftwagen 3 bis einschließlich 3,5t;3;2;5;8;1171;7;92;51;38;6;7;1;51;1442
Lastkraftwagen 3 über 3,5t;1;0;0;4;989;1;52;41;38;4;1;0;30;1161
Sattelzugmaschine;1;0;1;3;950;5;77;35;93;6;3;0;39;1213
übriges Güterkraftfahrzeug;0;0;1;0;130;0;8;6;4;2;1;0;6;158
Landwirt. Zugmaschine;0;0;0;1;224;2;7;4;2;3;3;0;4;250
Straßenbahn;0;0;0;0;303;2;13;2;0;0;0;0;2;322
anderer Verkehrsteilnehmer;0;0;2;1;354;2;24;9;9;2;3;0;16;422
Unfälle zwischen zwei Beteiligten insg.;52;78;173;258;37909;227;1743;1069;939;137;223;10;2285;45103
