Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;12;0;0;0;0;0;0;0;0;12
Fahrrad;0;0;0;0;24;0;2;1;0;0;0;1;0;28
Mofa, Moped;2;0;5;2;189;2;29;4;0;1;0;20;1;255
Motorrad;0;5;2;7;356;4;51;5;0;0;0;22;0;452
Personenkraftwagen;47;66;193;137;29925;162;2089;257;88;29;66;1150;47;34256
Kraftomnibus, Obus;0;1;0;1;394;1;31;2;2;0;0;3;1;436
Liefer- und Lastkraftw.;1;3;5;12;2123;9;205;23;7;1;8;60;2;2459
Sattelschlepper;0;1;0;1;296;1;26;8;1;1;0;6;0;341
Landwirt. Zugmaschine;0;0;0;0;73;0;8;1;1;0;0;0;0;83
andere Zugmaschine;0;0;0;0;29;1;1;1;0;0;0;0;0;32
LKW mit Spezialaufbau;0;0;0;1;84;0;7;2;1;1;0;3;0;99
anderes Fahrzeug;0;2;1;1;608;1;33;9;1;1;1;10;0;668
sonstige Person;0;0;1;0;19;0;1;0;0;0;0;0;0;21
Unfälle zwischen zwei Beteiligten insg.;50;78;207;162;34132;181;2483;313;101;34;75;1275;51;39142
