Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;11;0;0;0;0;0;0;0;0;11
Fahrrad 4;0;0;0;0;29;0;1;2;0;0;0;0;0;32
Kraftrad mit Versicherungskennzeichen 1;0;2;2;0;169;0;17;8;1;1;2;0;24;226
Kraftrad mit amtlichem Kennzeichen 2;1;6;0;3;295;2;26;13;4;1;2;0;47;400
Personenkraftwagen;35;57;141;142;23389;157;925;506;292;63;83;9;1354;27153
Bus;0;0;1;1;318;3;10;1;2;2;0;0;5;343
Lastkraftwagen 3 bis einschließlich 3,5t;2;2;5;3;779;5;44;26;15;2;4;1;35;923
Lastkraftwagen 3 über 3,5t;1;0;0;2;499;1;21;11;6;0;0;0;7;548
Sattelzugmaschine;0;0;0;0;199;1;10;4;16;2;1;0;7;240
übriges Güterkraftfahrzeug;0;0;1;0;74;0;4;3;1;1;1;0;2;87
Landwirt. Zugmaschine;0;0;0;0;99;0;2;2;0;1;0;0;3;107
Straßenbahn;0;0;0;0;303;2;13;2;0;0;0;0;2;322
anderer Verkehrsteilnehmer;0;0;2;0;211;1;14;5;3;1;0;0;11;248
Unfälle zwischen zwei Beteiligten insg.;39;67;152;151;26375;172;1087;583;340;74;93;10;1497;30640
