Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;4;0;0;146;4;31;10;3;0;7;7;0;212
Fahrrad;4;8;0;3;41;3;28;7;1;0;0;3;0;98
Mofa, Moped;0;0;1;0;12;0;6;0;2;0;0;0;0;21
Motorrad;4;1;0;0;48;1;6;0;1;0;0;1;0;62
Personenkraftwagen;74;45;7;16;41;1;1;0;0;0;0;0;0;185
Kraftomnibus, Obus;4;3;0;0;7;0;0;0;0;0;0;0;0;14
Liefer- und Lastkraftw.;8;7;3;5;12;0;1;1;0;0;0;0;0;37
Sattelschlepper;2;4;1;0;2;0;2;0;0;0;0;1;0;12
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
andere Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LKW mit Spezialaufbau;1;0;0;0;1;0;0;0;0;0;0;0;0;2
anderes Fahrzeug;30;11;1;2;10;0;1;0;0;0;0;0;0;55
sonstige Person;0;0;0;0;1;0;2;0;0;0;1;0;0;4
Unfälle zwischen zwei Beteiligten insg.;127;83;13;26;322;9;78;18;7;0;8;12;0;703
Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;1;40;0;6;4;2;1;0;0;0;54
Fahrrad;0;4;1;2;38;1;8;1;3;2;0;1;0;61
Mofa, Moped;0;0;0;1;10;0;3;0;0;0;0;1;0;15
Motorrad;2;4;3;6;110;3;15;5;7;1;0;1;1;158
Personenkraftwagen;38;49;14;68;341;0;20;13;4;0;0;2;0;549
Kraftomnibus, Obus;1;0;1;3;18;0;0;0;0;0;0;0;0;23
Liefer- und Lastkraftw.;2;8;2;14;106;0;14;4;0;0;0;0;0;150
Sattelschlepper;3;2;2;5;79;0;22;7;0;0;0;0;0;120
Landwirt. Zugmaschine;0;0;1;4;8;0;0;0;0;0;0;0;0;13
andere Zugmaschine;0;0;0;1;1;0;0;0;0;0;0;0;0;2
LKW mit Spezialaufbau;0;0;0;0;5;0;0;0;0;0;0;0;0;5
anderes Fahrzeug;2;2;2;3;19;0;3;0;0;0;0;1;0;32
sonstige Person;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Unfälle zwischen zwei Beteiligten insg.;48;69;26;108;777;4;91;34;16;4;0;6;1;1184
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;4;0;1;186;4;37;14;5;1;7;7;0;266
Fahrrad;4;12;1;5;79;4;36;8;4;2;0;4;0;159
Mofa, Moped;0;0;1;1;22;0;9;0;2;0;0;1;0;36
Motorrad;6;5;3;6;158;4;21;5;8;1;0;2;1;220
Personenkraftwagen;112;94;21;84;382;1;21;13;4;0;0;2;0;734
Kraftomnibus, Obus;5;3;1;3;25;0;0;0;0;0;0;0;0;37
Liefer- und Lastkraftw.;10;15;5;19;118;0;15;5;0;0;0;0;0;187
