Unfälle mit Getöteten - Innerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;9;25;321;8;25;53;35;8;7;81;5;108;8;693
Kraftrad mit Versicherungskennzeichen 1;0;0;8;0;0;3;1;0;0;0;0;0;0;12
Kraftrad mit amtlichem Kennzeichen 2;0;0;46;0;5;0;0;1;2;2;0;2;0;58
Personenkraftwagen;3;16;46;0;2;1;2;0;0;47;0;67;1;185
Bus;0;0;2;0;0;0;0;0;0;4;0;2;0;8
Lastkraftwagen 3 bis einschließlich 3,5t;0;2;4;0;0;0;0;0;0;4;0;2;0;12
Lastkraftwagen 3 über 3,5t;2;3;9;0;0;0;0;0;0;2;0;5;0;21
Sattelzugmaschine;0;1;5;0;1;0;0;0;0;1;0;6;0;14
übriges Güterkraftfahrzeug;1;0;3;0;0;0;0;0;0;0;0;0;0;4
Landwirt. Zugmaschine;2;1;3;0;0;0;0;0;0;1;0;0;0;7
Fahrrad 4;0;0;36;3;1;19;21;3;1;8;0;2;2;96
Straßenbahn;0;0;5;0;0;0;0;0;0;3;0;14;0;22
Fußgänger 5;1;0;144;5;16;30;11;2;2;6;4;0;5;226
anderer Verkehrsteilnehmer;0;2;10;0;0;0;0;2;2;3;1;8;0;28
Unfälle mit Getöteten – Außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;19;140;720;5;49;20;34;4;21;83;0;60;11;1166
Kraftrad mit Versicherungskennzeichen 1;0;0;3;0;0;0;0;0;1;0;0;2;0;6
Kraftrad mit amtlichem Kennzeichen 2;0;18;98;1;11;3;2;2;10;10;0;1;4;160
Personenkraftwagen;13;84;324;1;11;2;9;0;7;53;0;46;3;553
Bus;1;0;15;0;2;0;0;0;0;0;0;0;0;18
Lastkraftwagen 3 bis einschließlich 3,5t;0;4;25;0;0;2;2;0;0;6;0;3;0;42
Lastkraftwagen 3 über 3,5t;1;6;62;0;3;1;5;0;0;2;0;2;0;82
Sattelzugmaschine;2;8;86;0;12;8;12;1;0;4;0;3;1;137
übriges Güterkraftfahrzeug;0;2;5;0;2;1;0;0;0;0;0;1;1;12
Landwirt. Zugmaschine;0;9;7;0;0;0;0;0;0;2;0;0;0;18
Fahrrad 4;0;4;21;1;5;2;1;1;2;2;0;1;0;40
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Fußgänger 5;0;2;60;2;2;1;2;0;1;2;0;0;2;74
anderer Verkehrsteilnehmer;2;3;14;0;1;0;1;0;0;2;0;0;0;23
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;28;165;1041;13;74;73;69;12;28;164;5;168;19;1859
Kraftrad mit Versicherungskennzeichen 1;0;0;11;0;0;3;1;0;1;0;0;2;0;18
Kraftrad mit amtlichem Kennzeichen 2;0;18;144;1;16;3;2;3;12;12;0;3;4;218
Personenkraftwagen;16;100;370;1;13;3;11;0;7;100;0;113;4;738
Bus;1;0;17;0;2;0;0;0;0;4;0;2;0;26
Lastkraftwagen 3 bis einschließlich 3,5t;0;6;29;0;0;2;2;0;0;10;0;5;0;54
Lastkraftwagen 3 über 3,5t;3;9;71;0;3;1;5;0;0;4;0;7;0;103
Sattelzugmaschine;2;9;91;0;13;8;12;1;0;5;0;9;1;151
übriges Güterkraftfahrzeug;1;2;8;0;2;1;0;0;0;0;0;1;1;16
Landwirt. Zugmaschine;2;10;10;0;0;0;0;0;0;3;0;0;0;25
Fahrrad 4;0;4;57;4;6;21;22;4;3;10;0;3;2;136
Straßenbahn;0;0;5;0;0;0;0;0;0;3;0;15;0;23
Fußgänger 5;1;2;204;7;18;31;13;2;3;8;4;0;7;300
anderer Verkehrsteilnehmer;2;5;24;0;1;0;1;2;2;5;1;8;0;51
Unfälle mit Personenschaden - Innerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;3269;3632;118345;1400;5635;2275;1047;285;331;18974;140;7756;2611;165700
Kraftrad mit Versicherungskennzeichen 1;71;32;5384;48;259;90;40;16;14;205;1;136;190;6486
Kraftrad mit amtlichem Kennzeichen 2;57;149;7737;55;370;100;40;12;35;276;1;193;179;9204
Personenkraftwagen;2557;2853;50928;440;2325;1078;575;121;159;10558;41;5014;505;77154
Bus;38;34;1709;30;76;56;16;4;6;255;1;349;121;2695
Lastkraftwagen 3 bis einschließlich 3,5t;96;94;1224;16;100;52;19;4;6;361;3;170;17;2162
Lastkraftwagen 3 über 3,5t;41;35;618;6;37;48;15;1;2;126;3;54;9;995
Sattelzugmaschine;12;20;259;4;16;17;21;1;3;50;0;23;6;432
übriges Güterkraftfahrzeug;14;6;112;4;5;2;1;4;1;26;0;6;0;181
Landwirt. Zugmaschine;11;15;139;2;7;2;3;1;2;15;0;6;4;207
Fahrrad 4;184;203;32821;260;1564;557;224;67;54;4580;10;1445;990;42959
Straßenbahn;15;6;596;5;25;12;8;0;0;145;11;307;24;1154
Fußgänger 5;141;149;16136;440;811;237;76;42;39;2203;60;0;540;20874
anderer Verkehrsteilnehmer;32;36;682;90;40;24;9;12;10;174;9;53;26;1197
Unfälle mit Personenschaden – Außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;462;2534;38803;212;2252;1336;1515;152;540;1833;2;462;1012;51115
Kraftrad mit Versicherungskennzeichen 1;20;10;765;10;41;39;23;1;14;26;0;15;45;1009
Kraftrad mit amtlichem Kennzeichen 2;22;360;2660;18;128;72;66;14;87;101;0;16;158;3702
Personenkraftwagen;298;1820;28696;134;1510;808;1016;93;335;837;0;315;512;36374
Bus;5;13;189;0;15;13;9;1;2;9;0;5;5;266
Lastkraftwagen 3 bis einschließlich 3,5t;19;80;1035;4;107;58;54;9;17;40;0;17;21;1461
Lastkraftwagen 3 über 3,5t;5;48;914;6;96;125;98;10;4;15;1;12;12;1346
Sattelzugmaschine;8;45;1118;5;156;123;179;11;2;13;0;10;11;1681
übriges Güterkraftfahrzeug;1;8;121;3;9;10;12;1;2;2;0;2;6;177
Landwirt. Zugmaschine;6;48;282;2;17;5;8;1;8;16;0;1;3;397
Fahrrad 4;45;54;2103;9;103;44;24;10;44;615;0;60;185;3296
Straßenbahn;0;0;5;0;0;0;0;0;0;0;0;3;0;8
Fußgänger 5;28;17;647;12;45;21;8;0;13;134;1;0;38;964
anderer Verkehrsteilnehmer;5;31;268;9;25;18;18;1;12;25;0;6;16;434
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;3731;6166;157148;1612;7887;3611;2562;437;871;20807;142;8218;3623;216815
Kraftrad mit Versicherungskennzeichen 1;91;42;6149;58;300;129;63;17;28;231;1;151;235;7495
Kraftrad mit amtlichem Kennzeichen 2;79;509;10397;73;498;172;106;26;122;377;1;209;337;12906
Personenkraftwagen;2855;4673;79624;574;3835;1886;1591;214;494;11395;41;5329;1017;113528
Bus;43;47;1898;30;91;69;25;5;8;264;1;354;126;2961
Lastkraftwagen 3 bis einschließlich 3,5t;115;174;2259;20;207;110;73;13;23;401;3;187;38;3623
Lastkraftwagen 3 über 3,5t;46;83;1532;12;133;173;113;11;6;141;4;66;21;2341
Sattelzugmaschine;20;65;1377;9;172;140;200;12;5;63;0;33;17;2113
übriges Güterkraftfahrzeug;15;14;233;7;14;12;13;5;3;28;0;8;6;358
Landwirt. Zugmaschine;17;63;421;4;24;7;11;2;10;31;0;7;7;604
Fahrrad 4;229;257;34924;269;1667;601;248;77;98;5195;10;1505;1175;46255
Straßenbahn;15;6;601;5;25;12;8;0;0;145;11;310;24;1162
