Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;8;1;2;133;4;12;27;12;3;1;2;5;210
Fahrrad 4;3;7;0;0;53;0;5;20;14;6;1;0;0;109
Kraftrad mit Versicherungskennzeichen 1;1;0;0;0;6;0;2;4;0;0;0;0;1;14
Kraftrad mit amtlichem Kennzeichen 2;5;4;1;1;31;1;2;0;0;0;0;0;0;45
Personenkraftwagen;60;37;9;18;32;0;0;0;0;0;0;0;2;158
Bus;2;2;0;1;3;0;0;0;0;0;0;0;0;8
Lastkraftwagen 3 bis einschließlich 3,5t;2;2;1;1;2;0;0;1;1;0;0;0;1;11
Lastkraftwagen 3 über 3,5t;8;6;0;4;4;0;0;0;0;0;0;0;1;23
Sattelzugmaschine;8;2;0;1;4;0;0;0;0;0;0;0;0;15
übriges Güterkraftfahrzeug;3;2;0;0;2;0;0;0;0;0;0;0;0;7
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Straßenbahn;21;6;0;0;1;0;0;0;0;0;0;0;0;28
anderer Verkehrsteilnehmer;7;3;0;0;8;0;0;1;0;0;0;0;1;20
Unfälle zwischen zwei Beteiligten insg.;120;79;12;28;280;5;21;53;27;9;2;2;11;649
Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;35;0;6;2;4;0;1;0;0;48
Fahrrad 4;0;2;0;2;31;0;5;6;2;0;2;0;0;50
Kraftrad mit Versicherungskennzeichen 1;0;2;0;2;9;0;1;0;0;0;1;0;0;15
Kraftrad mit amtlichem Kennzeichen 2;1;4;2;12;100;0;1;7;3;2;9;0;1;142
Personenkraftwagen;40;45;6;66;304;0;11;9;8;1;3;0;8;501
Bus;1;1;1;1;10;0;0;0;0;0;0;0;0;14
Lastkraftwagen 3 bis einschließlich 3,5t;1;2;0;3;19;0;2;0;1;0;0;0;1;29
Lastkraftwagen 3 über 3,5t;4;2;2;6;65;0;7;1;3;0;0;0;0;90
Sattelzugmaschine;4;2;0;8;76;0;20;6;4;0;0;0;1;121
übriges Güterkraftfahrzeug;0;1;0;3;3;0;2;2;2;0;0;0;0;13
Landwirt. Zugmaschine;0;1;1;9;8;0;1;0;0;0;1;0;0;21
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;2;2;0;5;14;0;0;2;0;1;0;0;0;26
Unfälle zwischen zwei Beteiligten insg.;53;64;12;117;674;0;56;35;27;4;17;0;11;1070
