Auf Autobahnen - Unfälle mit Getöteten;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;3;1;2;0;0;0;0;0;0;6
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;1;5;0;1;0;0;0;0;1;0;8
Personenkraftwagen;5;1;0;1;48;0;10;8;0;0;0;0;0;73
Kraftomnibus, Obus;0;0;0;1;1;0;0;0;0;0;0;0;0;2
Liefer- und Lastkraftw.;4;0;0;3;15;0;8;0;0;0;0;0;0;30
Sattelschlepper;4;0;0;1;28;0;15;5;0;0;0;0;0;53
Landwirt. Zugmaschine;0;0;0;0;0;0;1;0;0;0;0;0;0;1
andere Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LKW mit Spezialaufbau;0;0;0;0;0;1;0;0;0;0;0;0;0;1
anderes Fahrzeug;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sonstige Person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unfälle zwischen zwei Beteiligten insg.;13;1;0;7;100;2;37;13;0;0;0;1;0;174
