Auf Autobahnen - Unfälle mit Getöteten;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;1;0;1;0;2;0;0;0;0;4
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;1;6;0;0;0;1;0;0;0;0;9
Personenkraftwagen;8;0;0;2;32;0;5;3;6;0;0;0;0;56
Bus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lastkraftwagen 3 bis einschließlich 3,5t;2;0;0;1;3;0;1;0;2;1;0;0;0;10
Lastkraftwagen 3 über 3,5t;1;0;0;1;9;1;11;1;1;0;0;0;0;25
Sattelzugmaschine;0;0;0;0;26;0;22;8;11;0;0;0;1;68
übriges Güterkraftfahrzeug;0;0;0;1;2;0;0;0;0;0;0;0;0;3
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;2;0;0;0;1;0;0;0;0;3
Unfälle zwischen zwei Beteiligten insg.;12;0;0;6;81;1;40;12;24;1;0;0;1;178
