Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;1;40;0;6;4;2;1;0;0;0;54
Fahrrad;0;4;1;2;38;1;8;1;3;2;0;1;0;61
Mofa, Moped;0;0;0;1;10;0;3;0;0;0;0;1;0;15
Motorrad;2;4;3;6;110;3;15;5;7;1;0;1;1;158
Personenkraftwagen;38;49;14;68;341;0;20;13;4;0;0;2;0;549
Kraftomnibus, Obus;1;0;1;3;18;0;0;0;0;0;0;0;0;23
Liefer- und Lastkraftw.;2;8;2;14;106;0;14;4;0;0;0;0;0;150
Sattelschlepper;3;2;2;5;79;0;22;7;0;0;0;0;0;120
Landwirt. Zugmaschine;0;0;1;4;8;0;0;0;0;0;0;0;0;13
andere Zugmaschine;0;0;0;1;1;0;0;0;0;0;0;0;0;2
LKW mit Spezialaufbau;0;0;0;0;5;0;0;0;0;0;0;0;0;5
anderes Fahrzeug;2;2;2;3;19;0;3;0;0;0;0;1;0;32
sonstige Person;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Unfälle zwischen zwei Beteiligten insg.;48;69;26;108;777;4;91;34;16;4;0;6;1;1184
