Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;3;0;3;173;10;34;6;2;1;4;10;0;246
Fahrrad;2;8;1;3;64;1;31;19;3;0;1;3;0;136
Mofa, Moped;1;1;0;2;9;0;3;0;0;0;0;1;0;17
Motorrad;4;11;0;24;156;1;24;2;12;1;0;1;0;236
Personenkraftwagen;98;99;23;83;384;0;31;11;5;0;2;3;2;741
Kraftomnibus, Obus;7;3;1;2;23;1;1;0;0;0;0;0;0;38
Liefer- und Lastkraftw.;21;16;5;22;125;2;21;5;0;0;1;1;0;219
Sattelschlepper;8;6;1;5;96;1;13;2;0;0;0;2;0;134
Landwirt. Zugmaschine;1;0;2;4;7;0;2;1;0;0;0;0;0;17
andere Zugmaschine;0;0;0;2;4;0;0;0;0;0;0;0;0;6
LKW mit Spezialaufbau;1;0;0;2;8;0;1;0;0;0;0;0;0;12
anderes Fahrzeug;24;11;2;7;21;0;5;0;1;0;0;1;0;72
sonstige Person;0;1;0;0;4;0;0;1;0;0;0;0;0;6
Unfälle zwischen zwei Beteiligten insg.;167;159;35;159;1074;16;166;47;23;2;8;22;2;1880
