Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;3;0;3;181;8;22;18;14;6;1;5;10;271
Fahrrad 4;2;11;0;4;51;1;8;27;11;4;5;0;3;127
Kraftrad mit Versicherungskennzeichen 1;1;0;0;0;23;1;1;3;3;1;0;0;1;34
Kraftrad mit amtlichem Kennzeichen 2;3;11;0;6;150;1;4;5;5;0;11;0;3;199
Personenkraftwagen;104;82;17;84;378;0;14;11;16;1;7;0;5;719
Bus;6;6;0;3;17;0;1;1;0;0;0;0;0;34
Lastkraftwagen 3 bis einschließlich 3,5t;5;4;2;1;22;0;2;0;2;0;0;0;0;38
Lastkraftwagen 3 über 3,5t;13;13;8;7;69;0;7;2;5;0;1;0;0;125
Sattelzugmaschine;12;6;0;7;87;0;11;6;8;0;1;0;2;140
übriges Güterkraftfahrzeug;0;2;1;0;8;0;1;1;0;1;0;0;0;14
Landwirt. Zugmaschine;1;3;0;7;7;0;1;1;0;0;0;0;0;20
Straßenbahn;27;4;0;0;2;0;0;0;0;0;0;0;0;33
anderer Verkehrsteilnehmer;10;15;0;3;16;0;0;4;0;0;0;0;0;48
Unfälle zwischen zwei Beteiligten insg.;184;160;28;125;1011;11;72;79;64;13;26;5;24;1802
