Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;4;0;0;146;4;31;10;3;0;7;7;0;212
Fahrrad;4;8;0;3;41;3;28;7;1;0;0;3;0;98
Mofa, Moped;0;0;1;0;12;0;6;0;2;0;0;0;0;21
Motorrad;4;1;0;0;48;1;6;0;1;0;0;1;0;62
Personenkraftwagen;74;45;7;16;41;1;1;0;0;0;0;0;0;185
Kraftomnibus, Obus;4;3;0;0;7;0;0;0;0;0;0;0;0;14
Liefer- und Lastkraftw.;8;7;3;5;12;0;1;1;0;0;0;0;0;37
Sattelschlepper;2;4;1;0;2;0;2;0;0;0;0;1;0;12
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
andere Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LKW mit Spezialaufbau;1;0;0;0;1;0;0;0;0;0;0;0;0;2
anderes Fahrzeug;30;11;1;2;10;0;1;0;0;0;0;0;0;55
sonstige Person;0;0;0;0;1;0;2;0;0;0;1;0;0;4
Unfälle zwischen zwei Beteiligten insg.;127;83;13;26;322;9;78;18;7;0;8;12;0;703
