Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;8;1;2;133;4;12;27;12;3;1;2;5;210
Fahrrad 4;3;7;0;0;53;0;5;20;14;6;1;0;0;109
Kraftrad mit Versicherungskennzeichen 1;1;0;0;0;6;0;2;4;0;0;0;0;1;14
Kraftrad mit amtlichem Kennzeichen 2;5;4;1;1;31;1;2;0;0;0;0;0;0;45
Personenkraftwagen;60;37;9;18;32;0;0;0;0;0;0;0;2;158
Bus;2;2;0;1;3;0;0;0;0;0;0;0;0;8
Lastkraftwagen 3 bis einschließlich 3,5t;2;2;1;1;2;0;0;1;1;0;0;0;1;11
Lastkraftwagen 3 über 3,5t;8;6;0;4;4;0;0;0;0;0;0;0;1;23
Sattelzugmaschine;8;2;0;1;4;0;0;0;0;0;0;0;0;15
übriges Güterkraftfahrzeug;3;2;0;0;2;0;0;0;0;0;0;0;0;7
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Straßenbahn;21;6;0;0;1;0;0;0;0;0;0;0;0;28
anderer Verkehrsteilnehmer;7;3;0;0;8;0;0;1;0;0;0;0;1;20
Unfälle zwischen zwei Beteiligten insg.;120;79;12;28;280;5;21;53;27;9;2;2;11;649
