Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;33;2;5;4;0;0;0;4;0;48
Fahrrad;0;5;0;0;5;0;0;0;0;0;0;0;0;10
Mofa, Moped;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Motorrad;1;0;0;12;153;1;13;7;0;0;0;10;1;198
Personenkraftwagen;16;0;1;131;5065;13;722;532;0;10;10;132;4;6636
Kraftomnibus, Obus;1;0;0;0;25;0;5;3;0;0;0;0;0;34
Liefer- und Lastkraftw.;5;0;0;25;613;3;198;92;1;2;1;12;0;952
Sattelschlepper;5;0;0;8;594;3;171;116;0;2;4;13;0;916
Landwirt. Zugmaschine;0;0;0;0;1;0;1;0;0;0;0;0;0;2
andere Zugmaschine;0;0;0;0;10;0;1;3;0;0;0;0;0;14
LKW mit Spezialaufbau;0;0;0;0;23;0;4;4;0;0;2;0;0;33
anderes Fahrzeug;0;0;0;0;50;0;7;8;0;0;0;1;0;66
sonstige Person;0;0;0;0;4;0;0;0;0;0;0;0;0;4
Unfälle zwischen zwei Beteiligten insg.;28;5;1;176;6577;22;1127;769;1;14;17;172;5;8914
