Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;26;0;6;1;5;0;0;0;6;44
Fahrrad 4;1;0;0;1;12;0;0;0;0;0;0;0;1;15
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;14;100;0;10;4;10;0;0;0;7;146
Personenkraftwagen;16;2;1;131;4517;7;338;226;499;18;1;0;86;5842
Bus;0;0;0;0;10;0;1;1;0;0;0;0;1;13
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;6;189;1;44;24;23;0;0;0;5;293
Lastkraftwagen 3 über 3,5t;2;0;0;4;289;0;63;44;61;3;0;0;2;468
Sattelzugmaschine;10;1;0;7;652;0;132;61;111;4;0;0;5;983
übriges Güterkraftfahrzeug;0;0;0;1;25;0;7;4;7;0;0;0;1;45
Landwirt. Zugmaschine;0;0;0;0;1;0;0;1;0;0;0;0;0;2
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;2;46;0;8;3;9;0;0;0;1;69
Unfälle zwischen zwei Beteiligten insg.;31;3;1;166;5867;8;609;369;725;25;1;0;115;7920
