Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;127;27;23;686;8;69;9;16;3;2;27;0;997
Fahrrad;91;619;58;46;2054;10;194;28;53;7;4;64;72;3300
Mofa, Moped;7;25;23;19;886;13;103;19;18;0;2;49;15;1179
Motorrad;18;79;30;286;2563;21;203;55;100;5;6;122;21;3509
Personenkraftwagen;304;816;396;1477;26771;121;2455;863;323;28;79;435;43;34111
Kraftomnibus, Obus;7;6;7;19;206;2;21;4;5;1;2;6;0;286
Liefer- und Lastkraftw.;20;76;33;126;2061;20;438;133;34;5;13;40;2;3001
Sattelschlepper;9;9;7;31;997;5;238;115;5;6;8;15;1;1446
Landwirt. Zugmaschine;5;16;10;44;285;1;23;2;6;2;2;2;1;399
andere Zugmaschine;0;1;3;5;32;0;10;2;1;2;0;0;0;56
LKW mit Spezialaufbau;0;3;1;6;86;1;14;7;1;1;3;1;0;124
anderes Fahrzeug;7;12;7;20;279;2;42;12;7;1;1;15;2;407
sonstige Person;0;10;4;8;46;1;8;1;6;0;0;3;0;87
Unfälle zwischen zwei Beteiligten insg.;468;1799;606;2110;36952;205;3818;1250;575;61;122;779;157;48902
