Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;168;20;20;602;7;27;14;19;1;12;0;25;915
Fahrrad 4;80;828;56;59;2337;16;114;57;43;3;50;0;165;3808
Kraftrad mit Versicherungskennzeichen 1;3;31;35;20;650;10;48;22;16;1;12;0;38;886
Kraftrad mit amtlichem Kennzeichen 2;20;80;23;389;2924;31;126;75;56;10;121;0;140;3995
Personenkraftwagen;271;897;305;1915;29034;124;1535;894;1070;93;301;1;427;36867
Bus;7;10;3;9;212;4;13;19;7;3;8;0;9;304
Lastkraftwagen 3 bis einschließlich 3,5t;8;26;15;75;974;7;89;40;52;6;7;1;20;1320
Lastkraftwagen 3 über 3,5t;14;24;11;57;846;5;117;107;104;7;10;0;17;1319
Sattelzugmaschine;14;11;5;42;1285;11;207;105;205;10;2;0;26;1923
übriges Güterkraftfahrzeug;1;7;1;11;117;1;11;8;6;4;4;0;2;173
Landwirt. Zugmaschine;0;17;1;46;284;4;13;6;6;1;7;0;2;387
Straßenbahn;4;1;0;0;2;0;0;0;1;0;0;0;0;8
anderer Verkehrsteilnehmer;4;26;8;41;305;8;27;10;13;5;11;0;12;470
Unfälle zwischen zwei Beteiligten insg.;426;2126;483;2684;39572;228;2327;1357;1598;144;545;2;883;52375
