Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2159;166;143;16642;422;1223;84;49;14;38;672;2;21614
Fahrrad;1471;4754;278;242;31874;254;2270;226;82;13;59;696;375;42594
Mofa, Moped;135;188;116;70;6023;48;426;45;41;2;8;186;40;7328
Motorrad;212;335;94;511;9456;71;619;94;132;12;11;273;55;11875
Personenkraftwagen;5283;10448;2884;3942;76064;518;6049;1553;433;61;151;969;75;108430
Kraftomnibus, Obus;349;246;54;50;1760;43;152;26;11;3;4;91;47;2836
Liefer- und Lastkraftw.;275;567;170;263;4173;42;566;160;30;7;18;70;3;6344
Sattelschlepper;36;63;23;67;1303;11;262;147;11;1;5;23;2;1954
Landwirt. Zugmaschine;11;29;11;53;362;2;27;6;8;0;0;2;2;513
andere Zugmaschine;0;7;6;6;63;4;10;2;1;4;0;0;1;104
LKW mit Spezialaufbau;2;17;7;7;158;1;22;8;0;1;6;2;2;233
anderes Fahrzeug;407;246;34;58;1259;16;125;26;9;1;4;68;14;2267
sonstige Person;0;58;12;16;228;61;32;0;16;0;6;26;0;455
Unfälle zwischen zwei Beteiligten insg.;8181;19117;3855;5428;149365;1493;11783;2377;823;119;310;3078;618;206547
