Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2439;150;156;16820;435;861;226;92;39;58;68;606;21950
Fahrrad 4;1611;5555;244;289;35741;287;1660;612;249;86;90;16;1219;47659
Kraftrad mit Versicherungskennzeichen 1;130;175;82;53;5739;42;280;116;49;15;26;4;201;6912
Kraftrad mit amtlichem Kennzeichen 2;227;371;88;559;9893;75;483;161;97;30;136;0;323;12443
Personenkraftwagen;5400;11673;2651;4494;80699;577;3750;1893;1706;258;461;45;957;114564
Bus;316;270;35;59;1922;47;91;45;25;7;7;2;116;2942
Lastkraftwagen 3 bis einschließlich 3,5t;136;380;111;184;2355;24;177;78;65;9;14;1;43;3577
Lastkraftwagen 3 über 3,5t;67;160;44;80;1546;28;120;156;100;9;7;3;29;2349
Sattelzugmaschine;35;71;20;61;1438;6;174;143;182;10;9;2;30;2181
übriges Güterkraftfahrzeug;8;32;8;21;248;5;12;16;14;3;3;1;3;374
Landwirt. Zugmaschine;9;30;17;80;448;4;23;5;10;0;13;0;3;642
Straßenbahn;329;160;7;5;631;10;34;14;8;7;0;12;20;1237
anderer Verkehrsteilnehmer;78;192;38;83;1020;98;64;44;19;10;17;6;45;1714
Unfälle zwischen zwei Beteiligten insg.;8346;21508;3495;6124;158500;1638;7729;3509;2616;483;841;160;3595;218544
