Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;1903;196;150;14687;404;1193;75;30;7;36;523;0;19204
Fahrrad;1212;3851;278;179;27229;237;2051;165;30;14;45;557;351;36199
Mofa, Moped;155;201;99;52;5692;42;455;53;21;10;7;158;43;6988
Motorrad;211;262;67;144;7292;43;534;49;35;7;10;155;47;8856
Personenkraftwagen;5203;9105;3048;2458;48539;465;4172;547;154;51;119;598;47;74506
Kraftomnibus, Obus;359;202;58;35;1569;37;131;19;3;3;3;77;36;2532
Liefer- und Lastkraftw.;300;537;194;184;2337;33;263;34;9;5;13;39;2;3950
Sattelschlepper;24;44;17;18;261;9;34;21;1;4;0;8;0;441
Landwirt. Zugmaschine;7;15;10;16;109;1;13;1;3;0;0;4;1;180
andere Zugmaschine;4;7;2;3;40;0;5;1;0;1;1;0;0;64
LKW mit Spezialaufbau;7;13;2;2;83;5;7;1;1;0;3;1;4;129
anderes Fahrzeug;376;234;50;42;1189;20;139;20;2;2;7;58;11;2150
sonstige Person;0;57;14;13;210;71;25;6;5;0;2;23;0;426
Unfälle zwischen zwei Beteiligten insg.;7858;16431;4035;3296;109237;1367;9022;992;294;104;246;2201;542;155625
