Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;2;8;0;4;0;0;0;0;2;0;16
Personenkraftwagen;4;0;0;8;2081;9;395;274;0;5;8;413;4;3201
Kraftomnibus, Obus;0;0;0;1;10;0;3;0;0;0;0;1;0;15
Liefer- und Lastkraftw.;0;0;0;0;355;0;78;46;0;0;2;35;1;517
Sattelschlepper;0;0;0;1;390;1;61;47;0;1;1;21;0;523
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
andere Zugmaschine;0;0;0;0;2;0;3;0;0;0;0;0;0;5
LKW mit Spezialaufbau;0;0;0;0;20;0;1;1;0;0;0;0;0;22
anderes Fahrzeug;0;0;0;0;28;0;4;1;0;0;0;4;0;37
sonstige Person;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Unfälle zwischen zwei Beteiligten insg.;4;0;0;12;2896;10;549;369;0;6;11;476;5;4338
