Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;8;0;1;1;1;0;0;0;4;15
Personenkraftwagen;0;0;0;11;2079;12;154;191;341;9;1;0;377;3175
Bus;0;0;0;0;9;0;4;0;0;0;0;0;1;14
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;0;0;151;1;20;12;24;0;1;0;16;225
Lastkraftwagen 3 über 3,5t;0;0;0;0;237;0;30;20;22;1;0;0;16;326
Sattelzugmaschine;0;0;0;2;565;1;52;29;67;3;0;0;25;744
übriges Güterkraftfahrzeug;0;0;0;0;24;0;3;1;4;0;0;0;4;36
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;1;36;1;2;4;4;0;0;0;3;51
Unfälle zwischen zwei Beteiligten insg.;0;0;0;14;3109;15;266;258;463;13;2;0;446;4586
