Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;1;10;0;0;0;0;0;0;0;0;11
Fahrrad 4;0;0;0;0;30;0;2;0;0;0;0;0;0;32
Kraftrad mit Versicherungskennzeichen 1;1;1;0;1;156;0;11;0;2;1;0;0;21;194
Kraftrad mit amtlichem Kennzeichen 2;1;4;3;16;432;8;40;6;12;4;3;0;53;582
Personenkraftwagen;35;78;135;264;32503;182;1516;914;791;122;186;11;1949;38686
Bus;1;0;0;1;356;1;9;4;4;0;1;0;8;385
Lastkraftwagen 3 bis einschließlich 3,5t;3;1;6;9;1307;8;104;54;57;2;17;1;59;1628
Lastkraftwagen 3 über 3,5t;0;0;4;6;1059;1;62;40;58;4;5;0;31;1270
Sattelzugmaschine;1;0;0;2;1009;3;62;46;104;7;3;0;31;1268
übriges Güterkraftfahrzeug;0;0;2;2;147;1;11;5;6;0;0;0;5;179
Landwirt. Zugmaschine;0;1;0;0;216;0;9;6;6;0;0;0;4;242
Straßenbahn;0;0;0;0;278;0;12;1;0;0;0;0;1;292
anderer Verkehrsteilnehmer;0;0;1;4;326;0;17;7;11;0;6;0;7;379
Unfälle zwischen zwei Beteiligten insg.;42;85;151;306;37829;204;1855;1083;1051;140;221;12;2169;45148
