Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;8;0;0;0;0;0;0;0;0;8
Fahrrad;0;0;1;0;23;0;2;0;0;0;0;0;0;26
Mofa, Moped;0;0;4;2;208;1;38;1;0;0;0;24;0;278
Motorrad;1;1;3;5;364;1;40;2;2;0;2;37;0;458
Personenkraftwagen;58;58;214;128;28227;144;1848;253;92;14;63;1277;40;32416
Kraftomnibus, Obus;0;0;1;1;326;3;14;1;0;0;0;3;0;349
Liefer- und Lastkraftw.;2;3;7;8;1952;6;153;26;7;1;4;54;2;2225
Sattelschlepper;0;0;2;0;237;0;21;10;3;0;0;5;0;278
Landwirt. Zugmaschine;0;0;1;0;78;1;3;1;2;0;1;2;0;89
andere Zugmaschine;0;0;0;0;19;0;2;0;0;0;0;0;0;21
LKW mit Spezialaufbau;0;0;0;2;68;0;7;1;0;0;0;0;0;78
anderes Fahrzeug;0;0;1;0;540;1;23;2;1;0;1;9;0;578
sonstige Person;0;0;0;1;20;0;0;0;0;0;0;0;0;21
Unfälle zwischen zwei Beteiligten insg.;61;62;234;147;32070;157;2151;297;107;15;71;1411;42;36825
