Unfälle mit Getöteten - Innerhalb von Ortschaften;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;13;36;329;9;81;16;3;3;11;73;12;145;4;735
Mofa, Moped;0;0;3;0;1;0;0;0;0;0;1;0;0;5
Motorrad;1;0;52;1;4;1;0;0;0;1;0;3;0;63
Personenkraftwagen;5;23;41;1;6;0;0;2;0;44;2;91;0;215
Kraftomnibus, Obus;0;0;5;0;0;0;0;0;1;3;1;7;1;18
Liefer- und Lastkraftw.;4;4;13;0;1;0;0;0;0;9;0;6;1;38
Sattelschlepper;0;4;4;0;1;0;0;0;0;2;0;2;0;13
Landwirt. Zugmaschine;1;1;0;0;0;0;0;0;0;0;0;0;0;2
andere Zugmaschine;0;0;1;0;0;0;0;0;0;0;0;1;0;2
LKW mit Spezialaufbau;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Fahrrad;0;1;44;1;27;12;1;1;4;3;0;2;1;97
anderes Fahrzeug;2;1;7;0;0;0;0;0;0;8;0;33;1;52
Fußgänger;0;1;158;6;41;3;2;0;5;3;8;0;0;227
sonstige Person;0;1;0;0;0;0;0;0;1;0;0;0;0;2
Unfälle mit Getöteten – Außerhalb von Ortschaften;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;14;138;785;5;110;28;19;0;1;70;17;76;0;1263
Mofa, Moped;0;1;13;0;2;0;0;0;0;0;1;1;0;18
Motorrad;0;12;99;1;15;1;10;0;0;4;3;3;0;148
Personenkraftwagen;10;95;377;1;34;17;6;0;1;49;5;49;0;644
Kraftomnibus, Obus;0;2;10;0;0;0;0;0;0;1;0;1;0;14
Liefer- und Lastkraftw.;0;13;95;0;17;0;0;0;0;6;1;14;0;146
Sattelschlepper;1;6;78;0;20;5;0;0;0;5;0;5;0;120
Landwirt. Zugmaschine;1;2;5;0;2;0;0;0;0;0;0;0;0;10
andere Zugmaschine;0;1;1;0;0;0;0;0;0;0;0;0;0;2
LKW mit Spezialaufbau;1;1;7;1;1;0;0;0;0;0;0;0;0;11
Fahrrad;0;2;29;1;7;3;1;0;0;3;2;0;0;48
anderes Fahrzeug;1;3;15;0;1;0;0;0;0;0;0;3;0;23
Fußgänger;0;0;54;1;11;2;2;0;0;1;5;0;0;76
sonstige Person;0;0;2;0;0;0;0;0;0;1;0;0;0;3
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;27;174;1114;14;191;44;22;3;12;143;29;221;4;1998
Mofa, Moped;0;1;16;0;3;0;0;0;0;0;2;1;0;23
Motorrad;1;12;151;2;19;2;10;0;0;5;3;6;0;211
Personenkraftwagen;15;118;418;2;40;17;6;2;1;93;7;140;0;859
Kraftomnibus, Obus;0;2;15;0;0;0;0;0;1;4;1;8;1;32
Liefer- und Lastkraftw.;4;17;108;0;18;0;0;0;0;15;1;20;1;184
Sattelschlepper;1;10;82;0;21;5;0;0;0;7;0;7;0;133
Landwirt. Zugmaschine;2;3;5;0;2;0;0;0;0;0;0;0;0;12
andere Zugmaschine;0;1;2;0;0;0;0;0;0;0;0;1;0;4
LKW mit Spezialaufbau;1;1;8;1;1;0;0;0;0;0;0;0;0;12
Fahrrad;0;3;73;2;34;15;2;1;4;6;2;2;1;145
anderes Fahrzeug;3;4;22;0;1;0;0;0;0;8;0;36;1;75
Fußgänger;0;1;212;7;52;5;4;0;5;4;13;0;0;303
sonstige Person;0;1;2;0;0;0;0;0;1;1;0;0;0;5
Unfälle mit Personenschaden - Innerhalb von Ortschaften;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;4248;3551;116953;1324;9156;979;294;86;242;18879;2450;8296;586;167044
Mofa, Moped;110;49;6339;44;455;33;24;5;14;209;145;182;33;7642
Motorrad;72;151;8392;56;582;44;31;4;12;324;180;222;60;10130
Personenkraftwagen;3215;2697;48620;417;3889;559;126;49;101;10535;606;5420;59;76293
Kraftomnibus, Obus;47;45;1647;20;153;10;4;0;5;250;80;376;41;2678
Liefer- und Lastkraftw.;218;183;2202;35;272;39;15;3;4;573;46;226;7;3823
Sattelschlepper;19;24;314;7;40;17;0;0;2;50;5;21;0;499
Landwirt. Zugmaschine;15;10;95;1;5;1;3;0;0;16;3;4;0;153
andere Zugmaschine;2;1;40;0;1;0;0;0;0;8;0;3;1;56
LKW mit Spezialaufbau;9;3;78;2;3;1;0;1;4;14;2;9;0;126
Fahrrad;269;180;32182;270;2388;193;51;11;51;4405;636;1456;373;42465
anderes Fahrzeug;54;39;1160;15;114;17;3;0;3;276;57;377;11;2126
Fußgänger;206;155;15694;397;1219;63;29;13;45;2151;666;0;0;20638
sonstige Person;12;14;190;60;35;2;8;0;1;68;24;0;1;415
Unfälle mit Personenschaden – Außerhalb von Ortschaften;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;669;2375;37480;193;4047;1396;556;87;107;1918;868;568;175;50439
Mofa, Moped;21;28;934;5;114;22;16;1;6;20;38;9;6;1220
Motorrad;30;312;2798;12;215;45;122;13;2;95;141;24;32;3841
Personenkraftwagen;439;1649;26845;117;2608;948;308;47;69;872;471;360;52;34785
Kraftomnibus, Obus;4;15;188;3;36;10;0;0;0;10;10;4;2;282
Liefer- und Lastkraftw.;47;148;2264;19;453;146;23;9;16;59;44;34;0;3262
Sattelschlepper;9;38;983;4;243;163;4;3;7;19;18;11;0;1502
Landwirt. Zugmaschine;19;63;283;0;19;4;5;1;0;13;4;1;1;413
andere Zugmaschine;1;10;45;0;7;1;0;2;0;1;3;0;0;70
LKW mit Spezialaufbau;4;3;84;1;22;7;3;1;4;2;3;1;0;135
