Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;3;0;1;158;6;41;3;2;0;5;8;0;227
Fahrrad;2;3;0;1;44;1;27;12;1;1;4;0;1;97
Mofa, Moped;0;0;0;0;3;0;1;0;0;0;0;1;0;5
Motorrad;3;1;1;0;52;1;4;1;0;0;0;0;0;63
Personenkraftwagen;91;44;5;23;41;1;6;0;0;2;0;2;0;215
Kraftomnibus, Obus;7;3;0;0;5;0;0;0;0;0;1;1;1;18
Liefer- und Lastkraftw.;6;9;4;4;13;0;1;0;0;0;0;0;1;38
Sattelschlepper;2;2;0;4;4;0;1;0;0;0;0;0;0;13
Landwirt. Zugmaschine;0;0;1;1;0;0;0;0;0;0;0;0;0;2
andere Zugmaschine;1;0;0;0;1;0;0;0;0;0;0;0;0;2
LKW mit Spezialaufbau;0;0;0;0;1;0;0;0;0;0;0;0;0;1
anderes Fahrzeug;33;8;2;1;7;0;0;0;0;0;0;0;1;52
sonstige Person;0;0;0;1;0;0;0;0;0;0;1;0;0;2
Unfälle zwischen zwei Beteiligten insg.;145;73;13;36;329;9;81;16;3;3;11;12;4;735
Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;1;0;0;54;1;11;2;2;0;0;5;0;76
Fahrrad;0;3;0;2;29;1;7;3;1;0;0;2;0;48
Mofa, Moped;1;0;0;1;13;0;2;0;0;0;0;1;0;18
Motorrad;3;4;0;12;99;1;15;1;10;0;0;3;0;148
Personenkraftwagen;49;49;10;95;377;1;34;17;6;0;1;5;0;644
Kraftomnibus, Obus;1;1;0;2;10;0;0;0;0;0;0;0;0;14
Liefer- und Lastkraftw.;14;6;0;13;95;0;17;0;0;0;0;1;0;146
Sattelschlepper;5;5;1;6;78;0;20;5;0;0;0;0;0;120
Landwirt. Zugmaschine;0;0;1;2;5;0;2;0;0;0;0;0;0;10
andere Zugmaschine;0;0;0;1;1;0;0;0;0;0;0;0;0;2
LKW mit Spezialaufbau;0;0;1;1;7;1;1;0;0;0;0;0;0;11
anderes Fahrzeug;3;0;1;3;15;0;1;0;0;0;0;0;0;23
sonstige Person;0;1;0;0;2;0;0;0;0;0;0;0;0;3
Unfälle zwischen zwei Beteiligten insg.;76;70;14;138;785;5;110;28;19;0;1;17;0;1263
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;4;0;1;212;7;52;5;4;0;5;13;0;303
Fahrrad;2;6;0;3;73;2;34;15;2;1;4;2;1;145
Mofa, Moped;1;0;0;1;16;0;3;0;0;0;0;2;0;23
Motorrad;6;5;1;12;151;2;19;2;10;0;0;3;0;211
Personenkraftwagen;140;93;15;118;418;2;40;17;6;2;1;7;0;859
Kraftomnibus, Obus;8;4;0;2;15;0;0;0;0;0;1;1;1;32
Liefer- und Lastkraftw.;20;15;4;17;108;0;18;0;0;0;0;1;1;184
Sattelschlepper;7;7;1;10;82;0;21;5;0;0;0;0;0;133
Landwirt. Zugmaschine;0;0;2;3;5;0;2;0;0;0;0;0;0;12
andere Zugmaschine;1;0;0;1;2;0;0;0;0;0;0;0;0;4
LKW mit Spezialaufbau;0;0;1;1;8;1;1;0;0;0;0;0;0;12
anderes Fahrzeug;36;8;3;4;22;0;1;0;0;0;0;0;1;75
sonstige Person;0;1;0;1;2;0;0;0;0;0;1;0;0;5
Unfälle zwischen zwei Beteiligten insg.;221;143;27;174;1114;14;191;44;22;3;12;29;4;1998
Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2151;206;155;15694;397;1219;63;29;13;45;666;0;20638
Fahrrad;1456;4405;269;180;32182;270;2388;193;51;11;51;636;373;42465
Mofa, Moped;182;209;110;49;6339;44;455;33;24;5;14;145;33;7642
Motorrad;222;324;72;151;8392;56;582;44;31;4;12;180;60;10130
Personenkraftwagen;5420;10535;3215;2697;48620;417;3889;559;126;49;101;606;59;76293
Kraftomnibus, Obus;376;250;47;45;1647;20;153;10;4;0;5;80;41;2678
Liefer- und Lastkraftw.;226;573;218;183;2202;35;272;39;15;3;4;46;7;3823
Sattelschlepper;21;50;19;24;314;7;40;17;0;0;2;5;0;499
Landwirt. Zugmaschine;4;16;15;10;95;1;5;1;3;0;0;3;0;153
andere Zugmaschine;3;8;2;1;40;0;1;0;0;0;0;0;1;56
LKW mit Spezialaufbau;9;14;9;3;78;2;3;1;0;1;4;2;0;126
anderes Fahrzeug;377;276;54;39;1160;15;114;17;3;0;3;57;11;2126
sonstige Person;0;68;12;14;190;60;35;2;8;0;1;24;1;415
Unfälle zwischen zwei Beteiligten insg.;8296;18879;4248;3551;116953;1324;9156;979;294;86;242;2450;586;167044
Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;138;31;21;686;8;82;11;12;2;0;54;0;1045
Fahrrad;112;664;54;59;2032;21;207;28;51;8;2;67;80;3385
Mofa, Moped;9;20;21;28;934;5;114;22;16;1;6;38;6;1220
Motorrad;24;95;30;312;2798;12;215;45;122;13;2;141;32;3841
Personenkraftwagen;360;872;439;1649;26845;117;2608;948;308;47;69;471;52;34785
Kraftomnibus, Obus;4;10;4;15;188;3;36;10;0;0;0;10;2;282
Liefer- und Lastkraftw.;34;59;47;148;2264;19;453;146;23;9;16;44;0;3262
Sattelschlepper;11;19;9;38;983;4;243;163;4;3;7;18;0;1502
Landwirt. Zugmaschine;1;13;19;63;283;0;19;4;5;1;0;4;1;413
andere Zugmaschine;0;1;1;10;45;0;7;1;0;2;0;3;0;70
LKW mit Spezialaufbau;1;2;4;3;84;1;22;7;3;1;4;3;0;135
anderes Fahrzeug;12;15;3;20;276;0;35;11;6;0;1;12;2;393
sonstige Person;0;10;7;9;62;3;6;0;6;0;0;3;0;106
Unfälle zwischen zwei Beteiligten insg.;568;1918;669;2375;37480;193;4047;1396;556;87;107;868;175;50439
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2289;237;176;16380;405;1301;74;41;15;45;720;0;21683
