Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2;0;3;155;5;39;7;0;2;5;6;0;224
Fahrrad;4;5;1;0;37;8;22;20;0;1;1;2;1;102
Mofa, Moped;1;0;0;0;6;0;0;0;0;0;0;1;0;8
Motorrad;2;0;0;0;41;0;1;2;2;0;1;1;0;50
Personenkraftwagen;69;36;3;14;29;0;1;1;0;0;0;3;1;157
Kraftomnibus, Obus;7;4;1;2;6;0;0;0;0;0;0;0;0;20
Liefer- und Lastkraftw.;11;8;0;3;9;0;1;0;0;0;0;0;0;32
Sattelschlepper;4;2;2;1;5;0;0;0;0;0;0;0;0;14
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
andere Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
LKW mit Spezialaufbau;1;0;0;0;0;0;0;0;0;0;0;0;0;1
anderes Fahrzeug;31;8;1;0;10;0;0;3;1;0;2;0;0;56
sonstige Person;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Unfälle zwischen zwei Beteiligten insg.;130;65;8;23;300;13;64;33;3;3;9;14;2;667
Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;3;0;2;57;0;7;1;0;0;2;2;0;74
Fahrrad;0;2;0;3;24;0;4;4;1;0;0;0;0;38
Mofa, Moped;0;1;1;0;7;0;2;0;0;0;1;0;0;12
Motorrad;0;4;0;14;91;1;17;4;8;0;0;2;1;142
Personenkraftwagen;41;41;17;75;307;1;15;6;3;0;1;4;1;512
Kraftomnibus, Obus;0;2;0;2;14;0;0;0;1;0;0;1;0;20
Liefer- und Lastkraftw.;6;8;2;8;87;1;12;3;0;0;0;1;0;128
Sattelschlepper;1;1;0;8;87;0;14;4;0;0;0;0;0;115
Landwirt. Zugmaschine;0;0;0;3;6;0;0;0;0;0;0;0;0;9
andere Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
LKW mit Spezialaufbau;0;0;0;2;7;0;1;0;0;0;0;0;0;10
anderes Fahrzeug;5;0;1;1;15;1;0;1;0;0;0;0;0;24
sonstige Person;0;0;0;1;1;0;0;0;0;0;0;0;0;2
Unfälle zwischen zwei Beteiligten insg.;53;62;21;119;704;4;72;23;13;0;4;10;2;1087
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;5;0;5;212;5;46;8;0;2;7;8;0;298
Fahrrad;4;7;1;3;61;8;26;24;1;1;1;2;1;140
Mofa, Moped;1;1;1;0;13;0;2;0;0;0;1;1;0;20
Motorrad;2;4;0;14;132;1;18;6;10;0;1;3;1;192
Personenkraftwagen;110;77;20;89;336;1;16;7;3;0;1;7;2;669
Kraftomnibus, Obus;7;6;1;4;20;0;0;0;1;0;0;1;0;40
Liefer- und Lastkraftw.;17;16;2;11;96;1;13;3;0;0;0;1;0;160
Sattelschlepper;5;3;2;9;92;0;14;4;0;0;0;0;0;129
Landwirt. Zugmaschine;0;0;0;3;7;0;0;0;0;0;0;0;0;10
andere Zugmaschine;0;0;0;0;2;0;0;0;0;0;0;0;0;2
LKW mit Spezialaufbau;1;0;0;2;7;0;1;0;0;0;0;0;0;11
anderes Fahrzeug;36;8;2;1;25;1;0;4;1;0;2;0;0;80
sonstige Person;0;0;0;1;1;0;0;0;0;0;0;1;0;3
Unfälle zwischen zwei Beteiligten insg.;183;127;29;142;1004;17;136;56;16;3;13;24;4;1754
Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2029;145;123;15992;413;1139;69;36;13;35;623;2;20619
Fahrrad;1384;4144;228;182;29945;240;2100;196;42;11;50;623;305;39450
Mofa, Moped;128;172;97;47;5276;43;362;30;17;1;5;139;32;6349
Motorrad;187;253;59;165;7028;53;437;45;39;2;9;162;39;8478
Personenkraftwagen;5002;9708;2565;2458;49203;398;3565;579;143;27;93;537;26;74304
Kraftomnibus, Obus;347;239;47;39;1563;42;122;17;6;2;3;86;46;2559
Liefer- und Lastkraftw.;252;502;141;144;2083;25;221;24;12;3;7;37;2;3453
Sattelschlepper;29;50;16;27;267;7;26;21;1;0;0;6;1;451
Landwirt. Zugmaschine;7;19;7;7;82;0;5;1;3;0;0;0;0;131
andere Zugmaschine;0;6;4;2;30;4;2;0;0;3;0;0;0;51
LKW mit Spezialaufbau;2;16;4;3;68;1;12;3;0;0;3;0;2;114
anderes Fahrzeug;397;235;31;31;1027;14;104;12;4;0;3;57;12;1927
sonstige Person;0;44;8;9;181;59;23;0;8;0;6;22;0;360
Unfälle zwischen zwei Beteiligten insg.;7735;17417;3352;3237;112745;1299;8118;997;311;62;214;2292;467;158246
Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;130;21;20;650;9;84;15;13;1;3;49;0;995
Fahrrad;87;610;50;60;1929;14;170;30;40;2;9;73;70;3144
Mofa, Moped;7;16;19;23;747;5;64;15;24;1;3;47;8;979
Motorrad;25;82;35;346;2428;18;182;49;93;10;2;111;16;3397
Personenkraftwagen;281;740;319;1484;26861;120;2484;974;290;34;58;432;49;34126
Kraftomnibus, Obus;2;7;7;11;197;1;30;9;5;1;1;5;1;277
