Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2;0;2;135;8;20;23;10;9;3;2;2;216
Fahrrad 4;5;8;1;0;30;2;4;33;16;5;0;2;0;106
Kraftrad mit Versicherungskennzeichen 1;0;1;1;0;9;0;0;1;0;0;0;0;1;13
Kraftrad mit amtlichem Kennzeichen 2;2;3;0;0;28;0;5;1;0;0;1;0;1;41
Personenkraftwagen;48;45;7;14;32;0;2;1;0;1;1;1;6;158
Bus;4;2;0;1;4;0;0;0;0;0;0;0;0;11
Lastkraftwagen 3 bis einschließlich 3,5t;3;2;1;2;6;0;0;0;0;0;0;0;0;14
Lastkraftwagen 3 über 3,5t;4;2;2;1;6;0;0;0;0;1;0;0;0;16
Sattelzugmaschine;2;2;0;2;3;0;0;0;0;0;0;0;0;9
übriges Güterkraftfahrzeug;1;0;1;1;3;0;0;0;0;0;0;0;0;6
Landwirt. Zugmaschine;0;1;0;1;0;0;0;0;0;0;0;0;0;2
Straßenbahn;16;3;0;0;1;0;1;0;0;0;0;0;0;21
anderer Verkehrsteilnehmer;9;7;1;1;10;0;0;1;1;0;0;0;0;30
Unfälle zwischen zwei Beteiligten insg.;94;78;14;25;267;10;32;60;27;16;5;5;10;643
Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;45;0;1;1;3;1;3;0;3;57
Fahrrad 4;0;1;0;1;25;0;2;2;2;1;3;0;0;37
Kraftrad mit Versicherungskennzeichen 1;0;0;0;1;5;0;0;0;1;0;0;0;0;7
Kraftrad mit amtlichem Kennzeichen 2;1;3;2;8;102;0;5;1;4;0;17;0;1;144
